,hippocampus_pilocarpine_vehicle_rep1,hippocampus_pilocarpine_vehicle_rep2,hippocampus_pilocarpine_vehicle_rep3,hippocampus_pilocarpine_vehicle_rep4,hippocampus_pilocarpine_vehicle_rep5,hippocampus_pilocarpine_vehicle_rep6,hippocampus_pilocarpine_vehicle_rep7,hippocampus_pilocarpine_vehicle_rep8,hippocampus_pilocarpine_vehicle_rep9,hippocampus_pilocarpine_vehicle_rep10,hippocampus_pilocarpine_vehicle_rep11,hippocampus_pilocarpine_vehicle_rep12,hippocampus_pilocarpine_vehicle_rep13,hippocampus_pilocarpine_vehicle_rep14,hippocampus_pilocarpine_vehicle_rep15,hippocampus_pilocarpine_vehicle_rep16,hippocampus_pilocarpine_vehicle_rep17
CRADD,6.8147787678857155,6.841587774228572,6.800111097485713,6.789157784371429,6.831794065542856,6.83928361,6.813003760885715,6.828434058971429,6.773561533342857,6.9195231384,6.875312802714286,6.916205329514286,6.984969233885714,6.937842931314287,6.979326202000001,6.877393682057144,6.880243703371428
RCAN2,8.831509172999997,9.176340396999999,8.794218020000002,8.728594007000002,9.121164507000001,9.479540131000002,8.897245089000002,8.780483925,8.997277274,8.827035207,8.97457963,8.964898598999998,8.798698774,8.491995592000002,9.331831217000001,8.845122538,8.465178609000002
MFAP3L,8.082117392999997,8.273464088,7.922419745,7.848923163999999,7.777998556999999,8.450799302,7.751044115,7.917049802,7.809445777000001,7.961099522714284,8.067759968,7.800596696,7.916080148999999,7.708801478999999,7.766303936999999,7.865657785999999,8.042497586000001
TCERG1L,6.844731660714287,6.747841492085715,6.698741107457142,7.001416729999999,6.812120401542858,6.791519443857143,6.675655629999999,6.868852566400001,6.799598387085715,6.737377705,6.882956707999999,6.837840736699999,6.834482885799999,6.885963785,6.835697377685715,6.889436690857144,6.905061303342858
MB21D2,6.997975881942858,7.091474417085714,7.031356781,7.042448991000001,7.231310822999999,6.984492257,7.089582838485716,7.015512950142858,7.022178623828572,7.017191997257142,6.997004301514286,6.979538532542857,6.98996027142857,6.98979305082857,7.004596568,6.960519513799999,7.0430308550000005
STRAP,10.531777330000002,10.73065714,10.403840333428574,10.522252960000001,10.69453461,10.60521323,10.595478819999999,10.74580124,10.723958939999997,10.76755971,10.459285729999998,10.657336910000001,10.52027662,10.543921959999999,10.45632688,10.609696699999997,10.57455158
LMAN1,7.484354743000001,7.3227123149999995,7.329372742914286,7.243745021,7.38618399,7.41053021,7.396524109,7.292881017999999,7.3361352779999995,7.2389830900000005,7.399391992000001,7.459578603,7.576592408000001,7.457937711000001,7.479435402000002,7.498852016114287,7.481595078
SLC6A13,8.323005063999998,8.411770108999997,9.531971897,8.345609872000002,9.028837219000001,9.07851065,8.173932107999997,8.779012326999998,8.567760051,8.287638494000001,8.990993924,8.522325394,8.674744027,8.453741283,8.45840447,9.284726696,9.189262392999998
PRAMEF8,8.098772114999997,7.825333027999998,8.077824145000001,8.057322581000001,8.100434985999998,7.972103002999998,8.107395152999997,7.992225987999997,8.068102775999998,8.162757177000001,8.14501005,7.9516292160000015,7.826472254,7.927813030971429,7.962582383999998,8.184325156999998,7.914265817
RFTN2,8.73772405,8.813008564000002,8.594590793,8.587097636000001,8.976125428999998,8.361422055,9.086189677,8.552271475999998,8.701107462,8.451489567000001,8.822686612999998,9.155417257000002,9.182406561,9.308743187000001,8.923328309999999,9.120064330999998,8.966909231999999
