,hippocampus_pilocarpine_PLX3397_3_mg/kg_rep1,hippocampus_pilocarpine_PLX3397_3_mg/kg_rep2,hippocampus_pilocarpine_PLX3397_3_mg/kg_rep3,hippocampus_pilocarpine_PLX3397_3_mg/kg_rep4,hippocampus_pilocarpine_PLX3397_3_mg/kg_rep5,hippocampus_pilocarpine_PLX3397_3_mg/kg_rep6,hippocampus_pilocarpine_PLX3397_3_mg/kg_rep7,hippocampus_pilocarpine_PLX3397_3_mg/kg_rep8,hippocampus_pilocarpine_PLX3397_3_mg/kg_rep9,hippocampus_pilocarpine_PLX3397_3_mg/kg_rep10,hippocampus_pilocarpine_PLX3397_3_mg/kg_rep11,hippocampus_pilocarpine_PLX3397_3_mg/kg_rep12,hippocampus_pilocarpine_PLX3397_3_mg/kg_rep13,hippocampus_pilocarpine_PLX3397_3_mg/kg_rep14,hippocampus_pilocarpine_PLX3397_3_mg/kg_rep15,hippocampus_pilocarpine_PLX3397_3_mg/kg_rep16,hippocampus_pilocarpine_PLX3397_3_mg/kg_rep17,hippocampus_pilocarpine_PLX3397_3_mg/kg_rep18
CRADD,6.887686101600001,6.803851834228571,6.831656662528572,6.793616217628572,6.890446701542857,6.894879742628571,6.923577354542857,6.984773378,6.976472640914286,7.013505789542856,6.8923212722,6.909621447514286,6.958743793999999,7.071689552000001,6.959550418000001,6.941430931685714,6.872492715571429,6.900090017
RCAN2,8.805792247000001,8.894344355999998,8.802715831,9.035031557000002,8.695058873999997,8.888002073999997,8.877409677000001,9.187691654,8.830653627,8.771167022999999,8.787313681,9.119005776999998,8.921993962999998,8.686484644000002,8.86700047,8.853921094999999,9.127712056,9.452159952000002
MFAP3L,7.768804425400002,7.673427556,7.622940500000001,7.783506057999999,7.729925301,7.556968052,7.696517611999999,7.611690763999999,8.145936271999998,7.572667782000001,7.506191368314285,7.677776142000002,7.547566731,7.779526496714287,7.712681513000001,8.432969037000003,7.613625148571428,7.652260609999999
TCERG1L,6.774943442514284,6.735421412285713,6.815826641257143,6.857491324485714,6.663192070000001,6.839608489400001,6.7470059586857145,6.741281455085715,6.822204000457145,6.944822796114286,6.849828693457142,6.94144473652857,6.710333156085714,6.789456186942857,6.8098142056,6.818983601057142,6.828174617742857,6.831664283171429
MB21D2,7.20617417,7.051729403942857,7.066698527228572,7.218007355,7.045799327999998,7.063590280971427,7.145214592,7.142393113,7.152906747685712,7.0783209320000005,7.160091499999998,6.981120565085715,7.075395258428571,7.010464964600001,7.077128177,6.985760240828572,7.068836632171428,7.0654019439999995
STRAP,10.647900339999998,10.504758009999998,10.652647310000003,10.589832839999998,10.518259590000001,10.604210860000002,10.666583339999999,10.61625742285714,10.68590522,10.42802316,10.566592230000001,10.422155369999999,10.539399950000002,10.48725134,10.67117256,10.60521323,10.621804489999999,10.92709485
LMAN1,7.3298441510000005,7.334439970999999,7.2813339919714295,7.496961229,7.403785821000001,7.397602226999999,7.189029549,7.380094617000001,7.611939489,7.490024707000001,7.4940098399999995,7.547307952999998,7.702718892000001,7.570743527,7.339698335,7.427059261000001,7.470414545000001,7.39491027
SLC6A13,8.796636147000003,10.086683380000002,9.059957552000002,8.788619386,9.738757013999997,9.030990881,9.427330966999998,10.349811680000002,8.26889812665714,9.223185581000001,9.527731276999999,9.619643584000002,9.359432906,8.393940223000001,8.951887021000001,9.075922483,9.962701886999998,9.244386464
PRAMEF8,8.156789253,8.170904619,8.229663953,8.188038479,8.177876428,8.067478694999998,7.980334582,8.018067932000001,7.687437394000001,7.895182717000002,7.996738567000001,8.172152813000002,8.053743225,8.060065677000003,8.202263657,7.986480272999998,8.079291484,7.879695174000001
RFTN2,8.328684184,8.309344418000002,8.34939047,8.792230669,8.49896594,8.508208117999997,8.083355418,8.312743287999998,8.871527765999998,8.92034944,8.685494576999998,8.885026813000001,8.866492226999998,8.864589841,9.022685389,8.702041252000003,8.550950399999998,7.955173253
ELAC2,7.669191102,7.550374087000002,7.742556136000001,7.730706100000001,7.672688293,7.769643207,7.975808521942858,7.825030611999999,7.790196933,7.690340139999999,7.774491136999998,7.767454680000001,7.832221478,7.762802058571428,7.713663008,7.809445777000001,7.9019235299999995,7.694701330999999
MAFA,6.9387222862,6.98979305082857,6.9195231384,6.993905955999999,6.910782480571428,6.98979305082857,6.984313650514286,6.919008802000001,6.847691306000001,6.8548072628285714,6.941748353828572,6.850224147714286,6.917667760942858,6.920605972257143,6.935141200800002,6.9206761096000005,6.790406866257142,7.0285719844857155
FANK1,6.871853322,6.868852566400001,6.901897214,6.8973244173142865,6.787838152999999,6.921157685,6.772172692000001,6.775904066000001,6.805264361057144,6.902911865085713,6.755094898,6.801379272114284,6.821233187371429,6.7977052472,6.789070627285713,6.702206565000001,6.782564352,6.7706503829999996
PTPN2,6.800909757914286,6.775491628428572,6.893747044542856,6.774030757771428,6.723632079999999,6.727113940085715,6.8081250996285725,6.8466883030000005,6.808508648285714,6.693588326,6.776875730714285,6.8044042826,6.744582597999998,6.806191769200001,6.8126682973428565,6.843798601571428,6.7734785932,6.737956832000001
MAPK13,6.9023477644,6.8195372946,6.846052013000001,6.857297582028571,6.893329451371429,6.818336337057143,6.864040760985715,6.824339267514286,6.833251890342858,6.806552521857143,6.850982944085715,6.863555821314286,6.883490535228572,6.813731547999999,6.926544218885715,6.882334548257145,6.994705452000001,6.886108285000001
SNX33,7.344987551,7.499637872,7.454633326,7.446459426,7.542243242,7.410848653885715,7.32887841,7.406755068,7.177146995142857,7.332959745999999,7.341268156000001,7.5055442789999995,7.382201126,7.385983243999999,7.3538537470000005,7.410164447999999,7.532287704999999,7.188276605
GPR84,7.00594895,7.0583737634,7.0231843281142865,7.059732351000001,7.042411784,7.041155359171428,6.97212043822857,6.9978966848285715,7.0023698869999995,7.08583936017143,6.960132238,7.129911595257144,7.131155556599999,6.961103807000001,7.025968642828573,7.152906747685712,7.091736077714287,7.58641852
AMPD3,6.766637152228572,6.820901317914287,6.855973649657144,6.814674186599998,6.860577471085715,6.699418009999999,6.748926102057143,6.7485717339999995,6.799268630628571,6.750707408885714,6.846985034085715,6.794905192514286,6.7668015712,6.710252223999999,6.817511717714287,6.772283815771429,6.792957239571428,6.769988820171429
HBA-A1,13.400718579999998,13.374045270000002,14.249565379999998,12.90844784,13.186822319999997,13.097244999999997,13.20781473,13.42067863,13.104752879999998,13.085199040000001,13.201125190000003,13.47620278,12.611552790000001,13.34719593,13.201125190000003,12.736744030000002,13.172061980000002,13.71980656
ETFRF1,7.3178572090000005,7.1922414340000005,7.150868438999999,7.22327801,7.152726757999999,7.239488921057143,7.164214230428572,7.310283461000001,7.249276869999999,7.524579897000001,7.335188493999999,7.388369876000001,7.368733054,7.328543278,7.284107762,7.163049761,7.2337002440000004,7.209539524999999
CD300E,6.840034358999999,6.866560207485715,6.793103869685714,6.825818943057143,6.827234538,6.8449869162,6.738784267999999,6.7280979194571415,6.8064574502571435,6.650019468,6.761671634000001,6.770105201142857,6.845182687457144,6.752511621399998,6.782856450942857,6.80579853197143,6.751427717971429,6.775226088999999
TGIF1,6.946714412742857,6.900532005285714,6.922543954057143,6.914288805971431,6.856554424085715,6.996962719514285,6.764442814657143,6.8451058534857125,6.9164923343428555,6.941401552657144,6.847302859400001,6.969922459999999,6.891394635771429,6.900996365714286,6.956572651057141,6.972013092,6.857665895314286,7.4080075999999995
ERI3,9.403049574000002,9.649016986,9.553185547999998,9.406567069,9.591432037999999,9.557379153999998,9.826417963999997,9.658411596,9.325341255000001,9.739570635,9.835284070999998,9.617065586000002,9.816644941,9.485548070999998,9.539617377999999,9.500104786,9.620400480999999,9.589489174
