,Epilepsy
CRADD,1
RCAN2,0
MFAP3L,1
TCERG1L,0
MB21D2,1
STRAP,0
LMAN1,1
SLC6A13,1
PRAMEF8,1
RFTN2,0
ELAC2,0
MAFA,1
FANK1,1
PTPN2,1
MAPK13,1
SNX33,0
GPR84,0
AMPD3,0
HBA-A1,1
ETFRF1,1
CD300E,0
TGIF1,1
ERI3,0
MSMB,0
MAB21L1,1
ENTR1,1
OLFR545,1
ARMC12,1
MMAB,0
H13,0
KIF18A,0
POU3F3,0
PLA2G2E,0
ROR1,1
TGIF2,0
UGT1A6A,0
PTPRC,1
RNF24,0
GLRX3,0
ZBTB26,1
ARHGEF19,1
TEX19.2,0
LRR1,1
CASK,1
RAB4A,1
SLC7A3,0
FAM171B,0
OLFR345,1
FZD4,1
AIF1,0
OXCT2B,1
AP2S1,1
NCSTN,1
TXLNB,1
WDR4,0
DCAF11,1
LMAN1L,0
ZFP318,0
SMPD4,0
XKR5,1
TSN,1
TMC6,0
ZCCHC13,1
UMPS,0
NEUROG2,0
CNST,1
MAP4K2,0
WARS2,0
MAPK1,1
FEZ1,1
CLEC4B1,0
1700037H04RIK,1
OLFR134,1
OLFR1417,0
LIG1,0
OLFR159,0
TRIP10,1
ADAM23,1
RRP7A,0
PIM2,1
HEYL,1
WBP11,1
SLC2A8,1
EIF4G2,0
MED16,0
EPHB3,1
VMN1R70,1
CCDC12,0
H4C2,0
AIDA,1
HCK,1
LRIG3,1
SLC12A6,1
GM1987,1
ACTR5,1
GGT7,1
HDAC5,0
EVI5L,0
CTDSP1,1
LRFN4,0
GFRA3,0
ING3,0
ZCCHC12,1
GSDMA,1
ASXL2,0
VMN1R9,0
OLFR698,1
GPR37,1
CFL1,1
CD300LB,1
FRMD6,0
TAS2R125,1
RETREG2,0
SNAPC3,0
TAS2R129,1
MAN2C1,0
DHRS7,0
FBH1,1
H3C7,0
CITED1,0
FLCN,1
SV2A,1
CEP250,1
DDX39,1
ADIPOR1,1
NNT,0
CREB3L4,1
VMN2R42,0
MGAT4E,1
CACFD1,1
VCPIP1,1
RDH16,0
LY9,1
ARHGDIB,0
GPR182,0
CTSA,0
CHFR,0
PCK1,0
AI467606,0
BNIP2,0
PLEC,1
ZMYM6,0
DELE1,1
PCBP3,1
TRAPPC1,1
OLFR906,0
NUDT5,0
FAM118A,1
MEDAG,1
INTS9,1
PCDHB10,0
PLD5,1
FGF10,1
ATG2A,1
AIRE,0
C8A,0
GPR18,1
HSD17B2,1
MUP3,0
ARHGAP26,0
COL4A3,1
EXTL2,1
OLFR76,0
ITGB3BP,0
SUPT3,1
FDX1,0
OLFR667,1
RCCD1,1
RAB2A,1
MEOX1,1
WDR24,1
SOX5,1
CCDC84,0
ATP5J2,0
TNPO1,1
LCN10,0
MKRN2,1
RPF1,1
AKT1,0
DUSP21,1
MYF6,0
SLC25A24,0
SGK1,0
SEC23A,1
ARHGEF7,1
TOPBP1,1
SLC4A8,0
PTPRO,1
MBD4,0
DNASE1L1,0
GABRE,0
ZFP959,1
TCTEX1D4,0
HEATR1,1
OLFR389,0
MED18,0
ZDHHC7,0
PSMD11,1
DNM3,0
TMEM145,0
SLCO1A6,1
SLC37A1,0
RBCK1,0
SELENOS,0
GPHN,1
KCNRG,0
RNF8,0
SCGB2B2,1
PLEKHA2,0
2310002L09RIK,0
HES6,0
ZBED3,0
HCRTR2,0
GNG2,1
MINDY2,0
NLRP4C,0
COMMD10,1
PPM1D,1
ADGRA2,1
A530064D06RIK,0
ZCRB1,0
DPP6,1
OSBPL3,0
GM648,1
ZFP609,1
ZFP1,0
BDNF,1
ZFP943,0
RABGAP1L,1
RNPS1,0
PCDHB17,0
RASL12,1
RASGRP1,1
DNM1,1
IFRD1,1
AKT1S1,0
THEMIS,0
NFE2L2,0
GPN2,0
SPTBN1,1
WNK2,1
CNKSR2,0
ZFP143,0
MCRS1,1
UNC119B,0
QRSL1,1
KRT35,1
PPM1H,0
2700081O15RIK,1
CRABP2,0
TK2,0
HACE1,1
PEBP1,1
CYP2D22,0
RGMA,0
TGFBR1,1
OLFR203,0
ERN2,0
SLC39A14,0
USP8,1
FAM229B,0
GPR142,1
CYP2B13,0
TAS2R123,1
TRIM21,1
APON,1
TGFBRAP1,0
SYNPO2L,1
CD109,1
CHIT1,0
FDXR,1
FAHD2A,0
SFRP2,1
COQ8B,1
AQP9,1
TIRAP,0
OLFR32,1
GLRX2,1
CDCA4,0
NMNAT2,1
RAB22A,1
RCOR2,1
GFAP,0
LAPTM4B,1
H2-T22,0
KYNU,0
EFCAB2,0
SGK3,1
DMRTC2,0
COMMD5,0
RNF167,0
PLAAT5,1
ARF2,1
PSEN1,1
TSC2,1
OLFR910,0
HSD3B2,0
TIMM8A2,0
IL24,0
METTL6,1
MBOAT2,1
PAK1,0
ZFP940,0
EML1,1
SYNM,0
UGT1A2,1
PHOSPHO1,0
STK10,0
CLPSL2,1
LOC102638047,1
SLC14A1,0
RPS9,0
OLFR397,1
CDK5RAP3,1
MRPS33,0
ABLIM3,1
KBTBD3,1
MEF2C,0
ELP5,1
CLN3,1
RUSC2,1
CLDN10,1
GSTM4,1
KCNMB1,0
FAM170A,1
TMED1,0
AMIGO1,1
CMTM2A,0
NUPR1L,1
LRRC45,0
CNGA3,0
HSD11B1,0
COBL,1
OSBPL9,0
IFT27,0
ANP32B,1
TSHB,0
DYNLRB2,0
PDE4D,1
GRAMD2,1
CBY1,0
PRKAB2,1
OLFR741,0
CTBP1,0
AFAP1,0
ART2B,0
FKBP10,0
BLOC1S5,1
ENTPD5,0
AWAT2,0
UBE2D2A,0
SEMA4A,1
KLHL13,1
PLPP7,1
TBC1D22B,0
NR2F6,1
SCN3B,1
NAT8F2,1
FBL,0
TSR3,1
DDX5,0
SNAPC2,1
GLI3,1
DVL1,0
CLEC4E,1
RHOB,1
FAM173A,0
PCDHGA5,0
TMEM167B,1
FSD2,1
EIF2B1,1
MCCC1,1
BMP4,0
2310057N15RIK,0
KAT2B,0
DICER1,1
POLR2M,1
ADPGK,0
ZFP87,1
CIDEA,1
OSCAR,1
DBI,0
SEMA6A,1
DSG2,0
OLFR1136,0
COPS4,0
IKZF5,0
MAP2K6,1
CHST11,0
BAIAP2L2,1
SDR9C7,0
AGFG2,1
BCL2L10,0
RELT,0
INPPL1,0
FXYD4,0
ACTRT2,1
OLFR71,0
PRL7D1,1
M1AP,1
OLFR1499,0
AW551984,0
SKIV2L,0
MARCKSL1,1
PNP,1
COMMD1,0
EIF2AK3,0
PWWP3A,1
CDKN2C,1
SLC5A11,1
TRAF2,0
CALM3,1
OLFR1355,0
POLR3D,1
EIF3H,0
EGR4,1
ZDHHC13,1
ADRA2B,0
CNDP2,1
HYAL3,1
DNAJA3,1
ZFP46,0
GRWD1,1
RIOK3,1
POLR3K,1
ELMO1,1
IL21,0
BCL2,1
GPD2,0
SLC38A4,0
OLFR531,0
MCTS1,0
1700001C19RIK,1
SEC22A,0
OLFR1469,1
DPP8,0
MATN4,0
SERPINA1B,1
CXCL9,0
LCE1L,1
PKHD1L1,1
PSD3,1
PDE4DIP,0
STARD6,0
CREB1,1
ALG3,0
HIRIP3,1
AGPAT2,1
AP1S1,1
FOXN2,0
EGFL7,1
TCF12,0
PRL2B1,0
SLC39A4,1
MICAL1,0
ZC3HAV1L,1
CYP2B10,0
ALG5,0
RCOR1,1
SYN2,0
NAT14,0
PADI6,1
NDUFA5,0
GMPPA,0
OAS3,0
TTYH1,1
CSTF1,1
ST8SIA5,1
CNNM3,1
APOE,0
FAAP24,0
GTPBP4,1
RAB3B,1
PRKN,1
ACP1,1
WIPI1,1
9530003J23RIK,1
KRT25,1
TMTC4,1
SLC35D3,0
SMARCD2,1
MRPL48,0
IGSF1,1
CBFA2T3,0
MASP2,0
RNF11,0
GSTM3,1
SYF2,1
SRRM4,1
PARP16,1
LMBR1,1
TTC39C,1
CCL27B,1
XPO5,1
MYBBP1A,1
FBXL6,0
DOCK3,0
PSMD12,1
FOXD3,0
INCENP,1
NUDT18,1
A930024E05RIK,1
CBLN2,1
COL17A1,1
SCOC,0
SART3,1
POTEG,0
OLFR576,0
BMPR1B,0
TULP1,0
IRF6,1
CD300C,1
MAP4K5,0
CREB3,0
CHD1L,0
RAD23A,0
SULT1E1,1
IMPDH1,1
GPR85,0
ZFP574,0
HMGCS2,1
VMN1R238,1
GRK3,0
CTTNBP2NL,0
SLA,0
ZP2,0
B3GNT5,0
CHST7,0
REG3D,0
ACO1,1
CD86,0
UBA5,1
PDCD6IP,1
SLC24A2,1
UHRF2,1
2610318N02RIK,0
XRCC6,0
RNF6,1
TM9SF1,1
TMEM174,0
IMPAD1,0
CEMIP,1
SLC5A4B,0
ERCC2,1
KCNAB1,1
TXNDC11,1
GZMG,1
SUCLG1,0
ELOB,0
CTRC,1
NFATC1,0
RIC3,0
BIN3,0
NAT8,1
TAFA2,1
CORO2B,1
DYNLT3,0
TBC1D9,0
CPA2,1
CALU,0
EEF1AKMT4-ECE2,1
SLC25A25,1
ENKUR,0
HTR2C,0
BRD9,1
ACAT3,0
PAK3,1
FAM160A1,0
COL6A2,0
KIF5C,1
TSPYL2,0
GRIN1,0
H2-Q1,1
APLP2,1
SAMD11,0
PCDHB12,0
C6,0
CDK5,1
FTCD,0
BTN2A2,0
ZDHHC20,0
MCL1,0
