,Epilepsy
CRADD,0.012143687654779965
RCAN2,-0.043091507367204226
TCERG1L,-0.010785519131089213
PRAMEF8,0.011565788671045706
RFTN2,-0.012018780058540067
ELAC2,-0.013756961551653533
GPR84,-0.03890526464165537
HBA-H13,-0.018612099073650086
TEX19.LRR1,0.01507122849947675
CASK,0.028011107162153437
FAM171B,-0.0778153236978954
OLFR345,0.012218994685464278
AIF1,-0.05013870158502
AP2S1,0.03197226549360948
NCSTN,0.011326344913441047
ZFP318,-0.015264984435462368
WARS2,-0.03299264716304708
MAPK1,0.014052888410504198
FEZ1,0.01428741071624741
1700037H04RIK,0.020814158359473336
OLFR1417,-0.015962818985651196
ADAM23,0.022188847765406958
EIF4G2,-0.01637988393349522
GM1987,0.011896268906261028
GGT7,0.016770164461774616
HDAC5,-0.025483523359428373
ING3,-0.013715580452171234
ZCCHC12,0.047015406262374076
RETREG2,-0.011731783386901283
CITED1,-0.016218145680278944
SV2A,0.012714780515268845
CEP250,0.016457393890737467
VMN2R42,-0.01646918370650859
CACFD1,0.01230575068396387
ARHGDIB,-0.016443716039978604
CTSA,-0.02121931660071585
ZMYM6,-0.014051215344317696
PCBP3,0.019623044047888984
TRAPPC1,0.011779707778496398
INTS9,0.012389139112524932
HSD17B2,0.011770288670139038
OLFR76,-0.01173136422306853
SUPT3,0.017067474718196248
RAB2A,0.010402909394494236
CCDC84,-0.011119623507950982
SGK1,-0.011793465580821517
SEC23A,0.02152171615243078
PTPRO,0.06101800818329107
OLFR389,-0.012314142056939885
MED18,-0.02157031416998194
ZDHHC7,-0.010390748740664339
SLC37A1,-0.013932307391885827
SELENOS,-0.011647282108275718
GPHN,0.04169523843698097
SCGB2B2,0.012263013678774274
ZBED3,-0.015937421860570105
GNG2,0.01774542698095406
MINDY2,-0.021680174424713
PPM1D,0.0200001458740267
ZCRB1,-0.01422420061724806
DPP6,0.022523128055515502
ZFP609,0.012010354372140925
BDNF,0.020980471326515145
ZFP943,-0.012927906746503846
RABGAP1L,0.012673836608886489
DNM1,0.010362640858520594
WNK2,0.01084381240845746
UNC119B,-0.010696968902510654
CRABP2,-0.01983860527296237
CYP2D22,-0.042813585887051704
SLC39A14,-0.011335611955424419
FAM229B,-0.01625931280800569
FAHD2A,-0.05014572214882511
GLRX2,0.014669630364173245
GFAP,-0.06146838377214693
H2-T22,-0.053148429707555726
KYNU,-0.01775854617934066
DMRTC2,-0.013433079620473552
COMMD5,-0.013505025774081995
ARF2,0.011185216253325643
EML1,0.06607166504909301
SYNM,-0.016236372897169657
SLC14A1,-0.010919112889758874
RPS9,-0.01266441455299665
MRPS33,-0.03717659921665583
RUSC2,0.024218432709177316
GSTM4,0.022115033566873922
TMED1,-0.016099523129162564
HSD11B1,-0.040727362551852754
OSBPL9,-0.020567048710391188
