simulation,sample_comp_mean,sample_comp_std,correctness
1,196775.0,0.0,100.0
2,187729.0,9046.0,100.0
3,158221.666667,42378.28278,100.0
4,165519.5,38816.41731,100.0
5,151063.0,45181.11299,100.0
6,172085.0,62535.85555,100.0
7,223715.0,139089.89343,100.0
8,235114.5,133556.68777,100.0
9,246596.777778,130039.21862,100.0
10,263355.4,133217.27106,100.0
11,281166.636364,138945.64947,100.0
12,271454.833333,136874.31953,100.0
13,289120.230769,145045.693,100.0
14,304169.142857,149932.07633,100.0
15,288029.266667,156932.86503,93.33333
16,275560.875,159438.36028,93.75
17,283319.352941,157760.46888,94.11765
18,270511.444444,162155.48529,94.44444
19,266238.684211,158868.19123,94.73684
20,262476.6,155711.46185,95.0
21,261750.714286,151993.49755,95.2381
22,257172.363636,149973.72609,95.45455
23,268644.130435,156235.18124,95.65217
24,261556.0,156677.78667,95.83333
25,252971.4,159168.77915,96.0
26,249196.230769,157215.09557,96.15385
27,248367.37037,154334.11613,96.2963
28,250153.857143,151837.12189,96.42857
29,247687.275862,149766.08787,96.55172
30,248301.8,147286.01403,96.66667
31,249433.83871,145023.56913,96.77419
32,251406.9375,143161.71774,96.875
33,248646.515152,141838.09863,96.9697
34,244958.764706,141333.37394,97.05882
35,242640.542857,139954.01384,97.14286
36,242204.777778,138020.59755,97.22222
37,236191.702703,140842.05187,97.2973
38,232257.0,141022.34081,97.36842
39,237775.923077,143299.66251,97.4359
40,235553.6,142176.06521,97.5
41,234358.756098,140634.68416,95.12195
42,233900.0,138981.42195,95.2381
43,232562.627907,137629.02985,95.34884
44,230981.590909,136450.51007,95.45455
45,232182.466667,135160.80939,95.55556
46,231505.347826,133760.74292,95.65217
47,230039.765957,132702.90743,95.74468
48,230511.75,131353.17086,95.83333
49,227629.816327,131530.24777,95.91837
50,226135.56,130627.7507,96.0
51,227170.058824,129547.4356,96.07843
52,226745.192308,128331.61358,96.15385
53,223246.924528,129594.12319,96.22642
54,224064.518519,128526.46945,96.2963
55,232142.090909,140506.42125,96.36364
56,228941.714286,141254.55854,96.42857
57,227527.421053,140409.44741,96.49123
58,225665.793103,139901.5543,96.55172
59,222263.0,141110.91593,96.61017
60,221119.733333,140205.33351,96.66667
61,224687.42623,141770.89553,96.72131
62,222795.451613,141397.18264,96.77419
63,221398.206349,140701.29249,96.8254
64,220473.90625,139790.38129,96.875
65,219685.061538,138854.38488,96.92308
66,218700.636364,138026.81567,95.45455
67,219799.626866,137283.52432,95.52239
68,219287.705882,136334.75695,95.58824
69,222354.478261,137685.63123,95.65217
70,225963.857143,139947.91711,95.71429
71,227122.042254,139296.32449,95.77465
72,225009.361111,139466.3987,95.83333
73,223883.739726,138836.78078,95.89041
74,221694.432432,139158.41249,95.94595
75,219603.266667,139393.19572,96.0
76,221561.894737,139508.12098,96.05263
77,221288.974026,138619.68398,96.1039
78,220072.615385,138141.19217,96.15385
79,223552.594937,140662.8318,96.20253
80,221687.85,140760.1203,96.25
81,219554.111111,141184.37867,96.2963
82,219124.04878,140374.2295,96.34146
83,221899.096386,141770.90144,96.38554
