simulation,sample_comp_mean,sample_comp_std,correctness
16,224648.75,162352.1086,100.0
17,217037.588235,160420.07645,100.0
18,223930.777778,158469.7887,100.0
19,219355.315789,155459.90349,100.0
20,212856.6,154148.71179,100.0
21,212122.238095,150469.58364,100.0
22,211130.090909,147080.33984,100.0
23,204604.826087,147067.38992,100.0
24,206812.0,144359.49448,100.0
25,210546.4,142621.0887,100.0
26,209597.423077,139931.95265,100.0
27,211062.555556,137519.24554,100.0
28,206253.0,137334.22703,100.0
29,202870.37931,136127.51644,100.0
30,208992.633333,137840.44596,100.0
31,206286.225806,136406.83611,100.0
32,207148.1875,134344.31129,100.0
33,206891.848485,132301.07957,100.0
34,206325.647059,130381.53198,100.0
35,203406.428571,129627.89355,100.0
36,205918.194444,128675.73121,100.0
37,203713.864865,127612.193,100.0
38,202913.921053,126015.86891,100.0
39,198393.128205,127473.32009,100.0
40,200112.275,126326.85507,100.0
41,195374.512195,128324.19526,100.0
42,194545.047619,126898.51761,100.0
43,197673.348837,127042.36789,100.0
44,205778.0,136372.36292,100.0
45,207097.755556,135132.46296,100.0
46,204954.065217,134426.9407,100.0
47,215505.276596,151020.56918,100.0
48,221326.25,154675.78166,100.0
49,219501.571429,153610.39689,100.0
50,223631.12,154789.65195,100.0
51,226770.588235,154863.9683,100.0
52,228936.615385,154145.76025,100.0
53,225851.886792,154296.48366,100.0
54,227475.407407,153317.4009,100.0
55,229950.909091,153002.47503,100.0
56,228977.285714,151802.05144,100.0
57,225340.894737,152905.49869,100.0
58,223057.827586,152558.4906,100.0
59,226296.898305,153258.37168,100.0
60,224808.0,152405.55092,100.0
61,223755.360656,151370.9253,100.0
62,221858.048387,150874.70763,100.0
63,219947.460317,150426.6553,100.0
64,218604.375,149627.06192,100.0
65,217778.446154,148618.57578,100.0
66,217410.424242,147518.22217,100.0
67,214807.358209,147932.54669,100.0
68,213916.441176,147021.74804,100.0
69,213232.217391,146061.50362,100.0
