simulation,sample_comp_mean,sample_comp_std,correctness,theta_dist
1,7604.0,0.0,100.0,1.00746
2,6451.0,1153.0,100.0,1.01001
3,5928.0,1197.21789,100.0,1.00275
4,5267.5,1543.94908,100.0,1.01925
5,5177.0,1392.76129,100.0,1.04061
6,4806.33333333,1517.71392,100.0,1.0225
7,4628.28571429,1471.25668,100.0,1.01002
8,4444.75,1459.39001,100.0,1.06485
9,4219.22222222,1516.59976,100.0,1.02391
10,4207.6,1439.19528,100.0,1.01952
11,4305.81818182,1406.93024,100.0,1.01113
12,4171.5,1418.7859,100.0,1.01376
13,4088.30769231,1393.25603,100.0,1.07264
14,4095.07142857,1342.79657,100.0,1.00744
15,4063.33333333,1302.68879,100.0,1.02256
16,4050.1875,1262.35015,100.0,1.07195
17,3963.17647059,1273.15579,100.0,1.05664
18,3923.38888889,1248.11303,100.0,1.04111
19,3971.68421053,1231.98266,100.0,1.05455
20,3932.9,1212.63032,100.0,1.08168
21,3906.0,1189.50494,100.0,1.00494
22,3859.45454545,1181.56821,100.0,1.01219
23,3832.04347826,1162.72669,100.0,1.09638
24,3771.875,1174.25229,100.0,1.0292
25,3715.04,1183.73938,100.0,1.06362
26,3666.38461538,1185.97166,100.0,1.01386
27,3666.11111111,1163.80284,100.0,1.00948
28,3685.53571429,1147.28018,100.0,1.02444
29,3574.27586207,1271.79753,100.0,1.33876
30,3637.86666667,1296.46568,100.0,1.0009
31,3679.96774194,1296.06256,100.0,1.00874
32,3798.1875,1435.45754,100.0,1.00792
33,3794.27272727,1413.71433,100.0,1.03669
34,3773.32352941,1397.95882,100.0,1.05017
35,3790.57142857,1381.50885,100.0,1.01442
36,3868.13888889,1437.40594,100.0,1.02169
37,3881.10810811,1419.98224,100.0,1.00424
38,3854.02631579,1410.82401,100.0,1.01104
39,3805.41025641,1424.5005,100.0,1.07877
40,3772.275,1421.72132,100.0,1.08056
41,3795.3902439,1411.86553,100.0,1.01254
