simulation,sample_comp_mean,sample_comp_std,correctness,theta_dist
1,3015.0,0.0,100.0,1.03522
2,3362.5,347.5,100.0,1.02861
3,4862.0,2139.51038,100.0,1.00007
4,6547.75,3458.09018,100.0,1.0004
5,5880.0,3369.01624,100.0,1.03639
6,5840.33333333,3076.75574,100.0,1.00744
7,5647.0,2887.61943,100.0,1.01356
8,5819.5,2739.40623,100.0,1.00409
9,5597.55555556,2657.93245,100.0,1.01919
10,5872.8,2653.29606,100.0,1.01008
11,5739.18181818,2564.86256,100.0,1.01498
12,5531.66666667,2550.29369,100.0,1.02475
13,5462.46153846,2461.94284,100.0,1.01259
14,6100.57142857,3304.78704,100.0,1.00022
15,6219.13333333,3223.39984,100.0,1.00144
16,6104.4375,3152.49732,100.0,1.0153
17,6071.23529412,3061.25387,100.0,1.0194
18,6150.88888889,2993.07679,100.0,1.00558
19,6243.47368421,2939.60936,100.0,1.00021
20,6335.6,2893.18094,100.0,1.01388
21,6500.23809524,2917.8785,100.0,1.00065
22,6488.40909091,2851.30719,100.0,1.01327
23,6382.2173913,2832.76603,100.0,1.02451
24,6361.91666667,2774.83068,100.0,1.00555
25,6208.76,2820.40158,100.0,1.04044
26,6240.5,2770.18088,100.0,1.00433
27,6238.92592593,2718.40908,100.0,1.00737
28,6285.85714286,2680.54041,100.0,1.00353
29,6248.72413793,2641.23761,100.0,1.0089
30,6136.4,2666.36136,100.0,1.0299
31,6216.25806452,2659.22245,100.0,1.00835
32,6160.28125,2635.83314,100.0,1.01499
33,6297.78787879,2709.63851,100.0,1.01983
34,6296.91176471,2669.49824,100.0,1.00407
35,6264.31428571,2637.94291,100.0,1.0093
36,6323.58333333,2624.57484,100.0,1.00068
37,6352.91891892,2594.84124,100.0,1.00334
38,6521.71052632,2758.65257,100.0,1.0093
39,6543.79487179,2726.45647,100.0,1.01544
40,6622.2,2736.32472,100.0,1.00899
41,6620.6097561,2702.76762,100.0,1.00501
42,6700.28571429,2718.69527,100.0,1.00081
43,6713.20930233,2688.20163,100.0,1.00175
44,6667.0,2674.6979,100.0,1.01232
45,6651.4,2646.83561,100.0,1.01041
46,6641.86956522,2618.6881,100.0,1.00833
47,6725.10638298,2651.47647,100.0,1.0061
48,6732.72916667,2624.23195,100.0,1.01052
49,6770.10204082,2610.19036,100.0,1.01021
50,6734.6,2595.87966,100.0,1.02522
51,6769.8627451,2582.37004,100.0,1.00262
52,6694.19230769,2613.88959,100.0,1.03349
53,6765.30188679,2639.40277,100.0,1.00009
54,6777.07407407,2616.25375,100.0,1.00236
55,6734.10909091,2611.51614,100.0,1.01917
56,6747.07142857,2589.87871,100.0,1.00304
57,6858.21052632,2698.42605,100.0,1.00039
58,6875.27586207,2678.16352,100.0,1.01249
59,6935.08474576,2694.15348,100.0,1.00002
60,6949.36666667,2673.8592,100.0,1.0046
61,6957.36065574,2652.57459,100.0,1.00005
62,6951.56451613,2631.48531,100.0,1.00319
