simulation,sample_comp_mean,sample_comp_std,correctness,theta_dist
1,23.0,0.0,100.0,1.18224
2,2458.5,2435.5,100.0,1.00464
3,3611.33333333,2571.47614,100.0,1.00963
4,2858.0,2581.06577,100.0,1.08076
5,3741.0,2906.59189,100.0,1.004
6,3126.0,2988.53732,100.0,1.05327
7,2687.85714286,2967.70322,100.0,1.16909
8,2906.625,2835.73099,100.0,1.01534
9,3292.77777778,2888.0437,100.0,1.00261
10,3584.9,2876.58396,100.0,1.00267
11,3770.54545455,2804.84028,100.0,1.00656
12,3476.91666667,2856.55937,91.66667,1.01175
13,3210.92307692,2895.04326,92.30769,1.19056
14,3203.85714286,2789.84981,92.85714,1.01016
15,3234.66666667,2697.71515,93.33333,1.00265
16,3084.9375,2675.64855,93.75,1.18945
17,3062.76470588,2597.27512,94.11765,1.05706
18,3124.77777778,2537.01495,94.44444,1.00248
19,3377.26315789,2691.68427,94.73684,1.04979
20,3448.05,2641.61139,95.0,1.00947
21,3284.71428571,2679.43854,95.2381,1.14758
22,3234.81818182,2627.80079,95.45455,1.023
23,3272.69565217,2576.17321,95.65217,1.0135
24,3395.20833333,2589.47017,95.83333,1.05535
25,3260.36,2621.74737,96.0,1.02223
26,3207.73076923,2584.26731,96.15385,1.05754
27,3238.7037037,2540.87197,96.2963,1.01621
28,3365.67857143,2580.84647,96.42857,1.01249
29,3415.4137931,2549.57789,96.55172,1.00001
30,3540.53333333,2595.70053,96.66667,1.00071
31,3605.77419355,2578.37321,96.77419,1.02172
32,3759.5625,2678.32677,96.875,1.00414
33,3897.21212121,2749.97725,96.9697,1.00079
34,3835.88235294,2732.04618,97.05882,1.0276
35,3726.57142857,2767.14273,97.14286,1.5076
36,3758.33333333,2734.90235,97.22222,1.00167
37,3774.83783784,2699.508,97.2973,1.00001
38,3817.92105263,2676.61153,97.36842,1.00725
39,3820.69230769,2642.12839,97.4359,1.00914
40,3821.875,2608.9032,97.5,1.05055
41,3729.36585366,2642.47695,95.12195,1.02656
42,3722.11904762,2611.2417,95.2381,1.01617
43,3635.97674419,2640.39246,95.34884,1.17969
44,3608.45454545,2616.44731,95.45455,1.01474
45,3529.04444444,2640.28978,93.33333,1.01106
46,3533.73913043,2611.62318,93.47826,1.00188
47,3533.93617021,2583.69092,93.61702,1.0117
48,3460.8125,2605.3213,93.75,1.10099
49,3437.63265306,2583.59541,93.87755,1.01735
50,3472.74,2569.40844,94.0,1.00518
51,3405.09803922,2588.66437,94.11765,1.16587
52,3414.92307692,2564.61253,94.23077,1.0044
53,3412.90566038,2540.34451,94.33962,1.00519
54,3409.14814815,2516.86155,94.44444,1.12628
55,3435.87272727,2501.59641,94.54545,1.00102
56,3447.05357143,2480.54641,94.64286,1.00712
57,3439.0877193,2459.41348,94.73684,1.00847
58,3433.72413793,2438.45571,94.82759,1.10413
59,3453.93220339,2422.59586,94.91525,1.01127
60,3468.18333333,2404.8154,95.0,1.01745
61,3469.63934426,2385.04901,95.08197,1.05888
62,3475.12903226,2366.12506,95.16129,1.03146
63,3481.01587302,2347.72881,95.2381,1.02085
64,3472.84375,2330.21792,95.3125,1.01227
65,3457.33846154,2315.54851,95.38462,1.04868
66,3405.12121212,2336.18443,95.45455,1.44927
67,3456.28358209,2355.64417,95.52239,1.00417
68,3435.29411765,2344.56243,95.58824,1.02214
69,3468.86956522,2343.92062,95.65217,1.00275
70,3463.4,2327.56157,95.71429,1.05362
71,3451.61971831,2313.21285,95.77465,1.02297
72,3433.625,2302.09153,95.83333,1.02216
73,3408.06849315,2296.53076,95.89041,1.03042
74,3363.83783784,2312.05453,95.94595,1.04699
75,3402.92,2321.06662,96.0,1.00389
76,3389.23684211,2308.78891,96.05263,1.04858
77,3397.36363636,2294.84167,96.1039,1.00862
78,3384.02564103,2283.08565,96.15385,1.05912
79,3341.60759494,2299.31381,94.93671,1.04555
80,3390.8375,2326.41818,95.0,1.00021
81,3395.40740741,2312.37426,95.06173,1.06594
82,3354.47560976,2327.56845,93.90244,1.07936
83,3420.54216867,2389.60576,93.9759,1.00003
84,3453.08333333,2393.76856,94.04762,1.00325
85,3412.67058824,2408.29869,94.11765,1.14287
86,3426.90697674,2397.85096,94.18605,1.00021
87,3387.66666667,2411.64338,94.25287,1.32507
88,3443.01136364,2452.8385,94.31818,1.01093
89,3404.57303371,2465.52976,94.38202,1.23834
90,3418.62222222,2455.37393,94.44444,1.00103
91,3420.32967033,2441.89932,94.50549,1.00304
92,3447.76086957,2442.64883,94.56522,1.00027
93,3411.13978495,2454.74206,93.54839,1.00494
94,3411.27659574,2441.65037,93.61702,1.01488
95,3404.81052632,2429.57453,93.68421,1.02761
96,3369.57291667,2441.16878,93.75,1.18308
97,3335.46391753,2451.4399,93.81443,1.08585
98,3357.58163265,2448.60926,93.87755,1.00025
99,3343.77777778,2440.04065,93.93939,1.02142
100,3351.56,2429.04428,94.0,1.01604
101,3318.69306931,2439.23374,94.05941,1.17711
102,3328.92156863,2429.423,94.11765,1.01121
103,3338.38834951,2419.49074,94.17476,1.01192
104,3306.44230769,2429.5605,94.23077,1.27472
105,3295.80952381,2420.39361,94.28571,1.08475
106,3323.17924528,2425.22038,94.33962,1.01707
107,3331.96261682,2415.55427,94.39252,1.00179
108,3332.78703704,2404.36026,94.44444,1.01129
109,3325.77981651,2394.41328,94.49541,1.03758
110,3295.67272727,2404.14152,94.54545,1.32428
111,3316.17117117,2402.92443,94.59459,1.03649
112,3338.52678571,2403.74014,94.64286,1.04056
113,3331.74336283,2394.15703,94.69027,1.11102
114,3352.3245614,2393.65254,94.73684,1.00237
115,3356.33043478,2383.6064,94.78261,1.00617
116,3363.64655172,2374.60645,94.82759,1.00067
117,3361.65811966,2364.53377,94.87179,1.00936
118,3333.29661017,2374.39473,94.91525,1.32156
119,3331.79831933,2364.45325,94.95798,1.00728
120,3338.60833333,2355.75238,95.0,1.00548
121,3311.1322314,2365.22671,95.04132,1.27519
122,3310.10655738,2355.54024,95.08197,1.01705
123,3283.53658537,2364.23074,94.30894,1.00545
124,3278.58064516,2355.31967,94.35484,1.01309
125,3273.512,2346.55837,94.4,1.11553
126,3275.77777778,2337.36536,94.44444,1.04117
127,3250.29133858,2345.65626,94.48819,1.04629
128,3275.578125,2353.78942,94.53125,1.01045
129,3250.36434109,2361.93786,94.57364,1.10332
130,3225.56153846,2369.64029,93.84615,1.01807
131,3201.11450382,2376.97844,93.89313,1.1451
132,3219.97727273,2377.77913,93.93939,1.03519
133,3207.47368421,2373.17517,93.98496,1.08922
134,3204.91044776,2364.48825,94.02985,1.01175
135,3208.13333333,2356.01001,94.07407,1.00914
136,3213.25735294,2348.08711,94.11765,1.03834
137,3235.58394161,2353.9459,94.16058,1.01222
138,3235.85507246,2345.40375,94.2029,1.02738
139,3213.17985612,2352.08389,94.2446,1.05325
140,3209.33571429,2344.10671,94.28571,1.02261
141,3205.63829787,2336.18914,94.32624,1.01447
142,3206.1971831,2327.95805,94.3662,1.03167
143,3201.87412587,2320.37598,94.40559,1.01452
144,3222.5625,2325.5021,94.44444,1.03354
145,3216.96551724,2318.44231,94.48276,1.14925
146,3194.99315068,2325.58859,94.52055,1.71834
147,3173.43537415,2332.25693,94.55782,1.17206
148,3208.14189189,2362.14675,94.59459,1.00099
149,3186.74496644,2368.55399,94.63087,1.1679
150,3196.16,2363.44144,94.66667,1.00005
151,3192.28476821,2356.08057,94.70199,1.03287
152,3199.46710526,2349.97545,94.73684,1.12227
153,3208.18954248,2344.7505,94.77124,1.05024
154,3215.30519481,2338.78202,94.80519,1.00615
155,3225.0,2334.32774,94.83871,1.00138
156,3215.89102564,2329.59585,94.87179,1.02455
157,3219.10191083,2322.51118,94.90446,1.00432
158,3198.91139241,2328.93124,94.93671,1.09795
159,3207.47169811,2324.08822,94.96855,1.00482
160,3218.45625,2320.95075,95.0,1.00847
161,3223.77639752,2314.71004,95.03106,1.00581
162,3225.22839506,2307.62836,95.06173,1.011
163,3246.55828221,2316.50237,95.09202,1.00343
164,3240.49390244,2310.72655,95.12195,1.01695
165,3238.0969697,2303.9182,95.15152,1.10156
166,3218.79518072,2310.31062,95.18072,1.00482
167,3219.52694611,2303.40243,95.20958,1.00484
168,3209.79166667,2299.98021,95.2381,1.05036
169,3203.5739645,2294.58114,95.26627,1.02003
170,3201.63529412,2287.96123,95.29412,1.01593
171,3204.10526316,2281.48878,95.32164,1.01488
172,3207.73837209,2275.34292,95.34884,1.01539
173,3189.32947977,2281.56703,95.37572,1.05655
174,3178.96551724,2279.0817,95.4023,1.04258
175,3178.34857143,2272.57528,95.42857,1.01815
176,3160.76704545,2278.01412,94.88636,1.02338
177,3171.8700565,2276.34064,94.91525,1.00013
178,3170.71348315,2269.98957,94.94382,1.00865
179,3188.12849162,2275.53292,94.97207,1.00051
180,3170.54444444,2281.36575,95.0,1.05815
181,3188.35359116,2287.56741,95.02762,1.02157
182,3170.94505495,2293.26524,95.05495,1.25192
183,3153.79781421,2298.66058,94.53552,1.0163
184,3136.80434783,2303.90327,94.56522,1.09094
185,3139.35135135,2297.92781,94.59459,1.01309
186,3144.2688172,2292.71807,94.62366,1.05114
187,3150.44919786,2288.13262,94.65241,1.00234
188,3133.78191489,2293.39279,94.14894,1.22441
189,3151.52910053,2300.22491,94.17989,1.01577
190,3147.32105263,2294.89299,94.21053,1.01556
191,3152.70680628,2290.08112,94.24084,1.04393
192,3136.36458333,2295.24871,94.27083,1.38465
193,3124.87564767,2294.82322,94.30052,1.07787
194,3145.11340206,2306.10376,94.3299,1.00054
195,3150.71282051,2301.50488,94.35897,1.00426
196,3160.82653061,2299.96643,94.38776,1.00144
197,3155.62436548,2295.27729,94.41624,1.01973
198,3150.45454545,2290.62339,94.44444,1.02298
199,3152.84924623,2285.10926,94.47236,1.01296
200,3160.51,2281.94971,94.5,1.00914
201,3165.03482587,2277.16542,94.52736,1.00044
202,3149.47029703,2282.21489,94.05941,1.05574
203,3152.61576355,2277.02563,94.08867,1.00184
204,3137.23529412,2281.98406,94.11765,1.27531
205,3147.97560976,2281.57431,94.14634,1.03516
206,3158.34466019,2280.86662,94.17476,1.00225
207,3143.1352657,2285.79822,94.2029,1.48264
208,3150.91346154,2283.04128,94.23077,1.01233
209,3160.01435407,2281.35184,94.25837,1.02769
210,3160.41428571,2275.92091,94.28571,1.01891
211,3164.11848341,2271.15577,94.3128,1.01531
212,3172.98584906,2269.45117,94.33962,1.01337
213,3171.66197183,2264.19961,94.3662,1.01017
214,3179.28504673,2261.64133,94.39252,1.00936
215,3164.57674419,2266.61117,94.4186,1.31678
216,3159.91203704,2262.39246,94.44444,1.01934
217,3165.28571429,2258.55479,94.47005,1.02457
218,3157.56880734,2256.23422,94.49541,1.15438
219,3167.26940639,2255.62902,94.52055,1.03829
220,3152.95909091,2260.4388,94.54545,1.27578
221,3171.68778281,2272.36251,94.57014,1.00022
222,3177.88288288,2269.10854,94.59459,1.03673
223,3183.25112108,2265.42758,94.61883,1.01019
224,3187.08035714,2261.08836,94.64286,1.00347
225,3180.18666667,2258.41612,94.66667,1.02953
226,3184.6460177,2254.40665,94.69027,1.02894
227,3196.55947137,2256.5541,94.71366,1.00068
228,3195.20614035,2251.6924,94.73684,1.06134
229,3207.14847162,2253.99548,94.75983,1.00072
230,3200.05217391,2251.65236,94.78261,1.02977
231,3207.32467532,2249.47885,94.80519,1.03818
232,3219.91810345,2252.7715,94.82759,1.00002
233,3232.28755365,2255.81363,94.84979,1.04449
234,3233.63675214,2251.08257,94.87179,1.00934
235,3243.35744681,2251.20424,94.89362,1.04516
236,3247.68644068,2247.40968,94.91525,1.00081
237,3244.67510549,2243.14037,94.93671,1.06083
238,3254.02521008,2243.04632,94.95798,1.01879
239,3256.38075314,2238.64381,94.97908,1.01627
240,3243.20416667,2243.2433,94.58333,1.00019
241,3253.03319502,2243.75725,94.60581,1.0023
242,3251.98760331,2239.17542,94.6281,1.00878
243,3254.80246914,2234.99233,94.65021,1.00957
244,3261.36885246,2232.75528,94.67213,1.0364
245,3257.17959184,2229.15467,94.69388,1.03178
246,3267.54065041,2230.5228,94.71545,1.00254
247,3280.91497976,2235.86494,94.73684,1.02027
248,3276.14516129,2232.61146,94.75806,1.08837
249,3275.13654618,2228.18041,94.77912,1.02959
250,3275.672,2223.73563,94.8,1.00958
251,3285.24302789,2224.45501,94.82072,1.00274
252,3280.08333333,2221.5415,94.84127,1.02317
253,3281.11857708,2217.20766,94.86166,1.00813
254,3283.72047244,2213.22575,94.88189,1.00425
255,3290.15294118,2211.2595,94.90196,1.00287
256,3277.36328125,2216.36641,94.92188,1.26026
257,3281.43968872,2213.01155,94.94163,1.09814
258,3286.53875969,2210.23075,94.96124,1.0029
259,3289.8030888,2206.58282,94.98069,1.00653
260,3277.30769231,2211.49717,95.0,1.0284
261,3282.36015326,2208.75948,95.01916,1.00165
262,3278.04198473,2205.64379,95.03817,1.02152
263,3295.63498099,2219.78816,95.05703,1.00145
264,3283.23863636,2224.68198,95.07576,1.18379
265,3282.57358491,2220.50679,95.09434,1.06058
266,3270.33082707,2225.2716,94.73684,1.01802
267,3258.13108614,2229.9949,94.75655,1.39489
268,3259.41044776,2225.92874,94.77612,1.00304
269,3271.866171,2231.12493,94.79554,1.0202
270,3265.24444444,2229.63598,94.81481,1.03585
271,3265.19557196,2225.51861,94.83395,1.01003
272,3263.98529412,2221.51316,94.85294,1.00969
273,3261.71428571,2217.75702,94.87179,1.01185
274,3249.90145985,2222.29405,94.52555,1.00018
275,3254.66909091,2219.65323,94.54545,1.00006
276,3257.67753623,2216.19008,94.56522,1.00755
