simulation,sample_comp_mean,sample_comp_std,correctness
1,669.0,0.0,100.0
2,884.0,215.0,100.0
3,783.666666667,225.72156,100.0
4,693.5,250.20542,100.0
5,706.4,225.27281,100.0
6,733.5,214.38731,100.0
7,740.285714286,199.17882,100.0
8,766.75,199.0369,100.0
9,751.666666667,192.4422,100.0
10,756.5,183.14161,100.0
11,732.636363636,190.22727,100.0
12,726.916666667,183.11402,100.0
13,757.461538462,205.29814,100.0
14,749.857142857,199.72118,100.0
15,756.733333333,194.65678,100.0
16,751.8125,189.43674,100.0
17,750.647058824,183.83975,100.0
18,759.277777778,182.16958,100.0
19,748.631578947,182.97346,100.0
20,736.05,186.58228,100.0
21,729.952380952,184.11629,100.0
22,737.863636364,183.50014,100.0
23,739.347826087,179.60164,100.0
24,732.166666667,179.1614,100.0
25,728.04,176.70189,100.0
26,727.346153846,173.30519,100.0
27,722.666666667,171.73127,100.0
28,720.785714286,168.91975,100.0
29,717.655172414,166.80637,100.0
30,724.3,167.86108,100.0
31,725.516129032,165.26574,100.0
32,720.03125,165.50481,100.0
33,719.303030303,163.02993,100.0
34,717.705882353,160.87637,100.0
35,716.857142857,158.6387,100.0
36,719.722222222,157.33556,100.0
37,720.891891892,155.35344,100.0
38,714.894736842,157.57635,100.0
39,717.307692308,156.25261,100.0
40,723.8,159.52542,100.0
41,720.43902439,158.99533,100.0
42,718.023809524,157.85052,100.0
43,723.976744186,160.70376,100.0
44,721.886363636,159.45735,100.0
45,726.955555556,161.22117,100.0
46,728.02173913,159.61945,100.0
47,725.340425532,158.95594,100.0
48,728.5,158.77592,100.0
49,731.795918367,158.79778,100.0
50,731.64,157.20557,100.0
51,733.549019608,156.24093,100.0
52,734.211538462,154.80364,100.0
53,725.433962264,165.8867,100.0
54,727.407407407,164.97031,100.0
55,728.563636364,163.68437,100.0
56,735.160714286,169.4338,100.0
57,731.754385965,169.86447,100.0
58,733.017241379,168.66346,100.0
59,733.983050847,167.38968,100.0
60,738.533333333,169.62876,100.0
61,736.06557377,169.3151,100.0
62,733.451612903,169.18044,100.0
63,732.46031746,168.01378,100.0
64,733.859375,167.06547,100.0
65,735.661538462,166.40112,100.0
66,733.439393939,166.10467,100.0
67,738.059701493,169.0795,100.0
68,736.529411765,168.29845,100.0
69,734.797101449,167.68402,100.0
70,735.485714286,166.5802,100.0
71,736.704225352,165.71683,100.0
72,736.916666667,164.57173,100.0
73,736.589041096,163.46428,100.0
74,737.959459459,162.7777,100.0
75,740.226666667,162.86089,100.0
76,742.25,162.73203,100.0
77,739.220779221,163.81448,100.0
78,738.756410256,162.812,100.0
79,735.936708861,163.68373,100.0
80,734.9875,162.87614,100.0
81,736.839506173,162.71299,100.0
82,737.414634146,161.80061,100.0
83,737.614457831,160.83313,100.0
84,740.666666667,162.27316,100.0
85,738.658823529,162.36202,100.0
86,739.523255814,161.61192,100.0
87,738.0,161.30018,100.0
88,741.090909091,162.95172,100.0
89,740.707865169,162.07352,100.0
90,742.844444444,162.42611,100.0
91,739.417582418,164.77024,100.0
92,737.358695652,165.04509,100.0
93,736.172043011,164.54947,100.0
94,734.361702128,164.60034,100.0
95,734.242105263,163.73584,100.0
96,735.291666667,163.20175,100.0
97,735.298969072,162.35834,100.0
98,733.969387755,162.05778,100.0
99,733.747474747,161.25219,100.0
100,731.53,161.95385,100.0
101,731.425742574,161.15348,100.0
102,731.911764706,160.43593,100.0
103,730.883495146,159.99262,100.0
104,729.326923077,160.00333,100.0
105,730.228571429,159.50484,100.0
106,730.377358491,158.758,100.0
107,727.822429907,160.1889,100.0
108,730.842592593,162.4773,100.0
109,733.247706422,163.65028,100.0
110,732.836363636,162.96132,100.0
111,732.918918919,162.22791,100.0
112,732.633928571,161.52996,100.0
113,733.132743363,160.90026,100.0
114,732.780701754,160.23671,100.0
115,732.47826087,159.57118,100.0
116,731.465517241,159.25264,100.0
117,731.888888889,158.63616,100.0
118,731.93220339,157.96324,100.0
119,731.605042017,157.33827,100.0
120,732.041666667,156.7537,100.0
121,729.347107438,158.87079,100.0
122,730.254098361,158.53259,100.0
123,727.845528455,160.11246,100.0
124,727.516129032,159.50738,100.0
125,727.784,158.89607,100.0
