simulation,sample_comp_mean,sample_comp_std,correctness,theta_dist
1,157.0,0.0,100.0,1.80355
2,226.5,69.5,100.0,1.48475
3,226.666666667,56.747,100.0,1.53031
4,227.5,49.16554,100.0,1.58225
5,233.6,45.63595,100.0,1.45085
6,228.833333333,43.00161,100.0,1.53247
7,215.0,52.27947,100.0,1.41511
8,204.5,56.24278,100.0,1.56693
9,198.555555556,55.62795,100.0,1.45037
10,199.3,52.82055,100.0,1.41868
11,190.090909091,58.17599,100.0,1.49678
12,186.75,56.79073,100.0,1.48361
13,194.692307692,61.10695,100.0,1.4206
14,198.714285714,60.64349,100.0,1.41464
15,197.4,58.7932,100.0,1.67537
16,199.6875,57.61154,100.0,1.42235
17,202.705882353,57.18059,100.0,1.41759
18,199.944444444,56.72396,100.0,1.43556
19,203.736842105,57.50775,100.0,1.51
20,204.5,56.15024,100.0,1.70558
21,205.285714286,54.90957,100.0,1.42641
22,205.909090909,53.72312,100.0,1.45508
23,206.739130435,52.68629,100.0,1.41716
24,210.166666667,54.13307,100.0,1.42508
25,211.12,53.24458,100.0,1.60827
26,209.692307692,52.69635,100.0,1.41668
27,210.62962963,51.93168,100.0,1.79866
28,208.107142857,52.65341,100.0,1.48162
29,209.517241379,52.27291,100.0,1.41491
30,213.0,54.70954,100.0,1.4148
31,210.580645161,55.42724,100.0,1.63929
32,208.25,56.0764,100.0,1.45182
33,209.242424242,55.50486,100.0,1.42601
34,207.852941176,55.26201,100.0,1.47657
35,206.657142857,54.91133,100.0,1.44357
36,203.472222222,57.32824,100.0,1.45843
37,205.675675676,58.07314,100.0,1.42608
38,205.157894737,57.39041,100.0,1.47781
39,206.179487179,56.99882,100.0,1.41912
40,208.3,57.81877,100.0,1.41517
41,210.073170732,58.19999,100.0,1.52147
42,209.095238095,57.84289,100.0,1.49947
43,207.209302326,58.45832,100.0,1.47353
44,207.704545455,57.88138,100.0,1.45842
45,205.955555556,58.39861,100.0,1.44162
46,206.173913043,57.77893,100.0,1.41448
47,204.829787234,57.88335,100.0,1.41546
48,203.9375,57.60295,100.0,1.46633
49,204.408163265,57.10532,100.0,1.4214
50,206.16,57.84613,100.0,1.41435
51,207.647058824,58.23341,100.0,1.92416
52,206.615384615,58.13947,100.0,1.42632
53,208.773584906,59.65424,100.0,1.52444
54,209.444444444,59.30076,100.0,1.76991
55,209.618181818,58.77306,100.0,1.72811
56,210.892857143,59.00807,100.0,1.51158
57,211.175438596,58.52638,100.0,1.57479
58,212.689655172,59.13521,100.0,1.41423
59,214.084745763,59.58679,100.0,1.65653
60,217.1,63.46513,100.0,1.41676
61,217.0,62.94755,100.0,1.41425
62,217.193548387,62.45614,100.0,1.46106
63,216.095238095,62.55911,100.0,1.44175
64,215.671875,62.15934,100.0,1.41464
65,215.8,61.68785,100.0,1.47527
66,215.196969697,61.41148,100.0,2.01935
67,215.626865672,61.05144,100.0,1.46628
68,215.367647059,60.63801,100.0,1.41559
69,213.594202899,61.94793,100.0,1.70261
70,214.342857143,61.81745,100.0,1.77725
71,214.394366197,61.38208,100.0,1.4587
72,214.611111111,60.98168,100.0,1.77274
73,213.945205479,60.82557,100.0,1.56792
74,214.256756757,60.47181,100.0,1.97697
75,214.146666667,60.07477,100.0,1.42612
76,213.434210526,59.99635,100.0,1.41976
77,214.415584416,60.21635,100.0,1.4193
78,215.0,60.04848,100.0,1.42212
79,214.329113924,59.96069,100.0,1.41899
80,214.5375,59.61354,100.0,1.42117
81,214.172839506,59.33412,100.0,1.69708
82,215.256097561,59.77168,100.0,1.53819
83,215.86746988,59.66791,100.0,1.41826
84,214.80952381,60.08971,100.0,1.61692
85,215.470588235,60.04167,100.0,1.41837
86,215.837209302,59.78719,100.0,1.41942
87,216.057471264,59.47768,100.0,1.42693
88,214.897727273,60.11996,100.0,1.44252
89,215.808988764,60.38935,100.0,1.66212
90,214.733333333,60.90426,100.0,1.41547
91,215.879120879,61.53634,100.0,2.07053
92,216.565217391,61.54996,100.0,1.41432
93,217.494623656,61.86382,100.0,1.52957
94,217.393617021,61.54158,100.0,2.05562
95,216.315789474,62.10234,100.0,1.60855
96,216.458333333,61.79366,100.0,1.41594
97,216.237113402,61.51251,100.0,1.43047
98,215.5,61.62696,100.0,1.50502
99,215.777777778,61.37656,100.0,1.44314
100,215.86,61.07438,100.0,1.4288
101,214.653465347,61.95742,100.0,1.72485
102,214.039215686,61.96123,100.0,1.78898
103,214.029126214,61.6598,100.0,1.70306
104,214.653846154,61.68932,100.0,1.41751
105,213.8,62.00928,100.0,1.69663
106,213.811320755,61.7162,100.0,1.83221
107,214.158878505,61.53126,100.0,1.41444
108,214.018518519,61.26294,100.0,1.61432
109,213.972477064,60.98315,100.0,1.88063
110,214.663636364,61.13268,100.0,1.4276
111,213.900900901,61.38021,100.0,1.49013
112,213.491071429,61.25794,100.0,1.63266
113,212.787610619,61.43901,100.0,1.42325
114,212.105263158,61.5975,100.0,1.41941
115,212.269565217,61.35419,100.0,1.41527
116,212.0,61.15751,100.0,1.41763
117,211.888888889,60.90735,100.0,1.57892
118,211.186440678,61.12282,100.0,1.41755
119,210.470588235,61.36019,100.0,1.44215
120,211.625,62.38817,100.0,1.51561
121,211.52892562,62.13875,100.0,1.43698
122,211.344262295,61.91689,100.0,1.43796
123,211.170731707,61.69446,100.0,1.63008
124,211.072580645,61.45483,100.0,1.61994
125,210.632,61.40483,100.0,1.43095
126,210.992063492,61.29301,100.0,1.47881
127,210.921259843,61.0564,100.0,1.52112
128,210.984375,60.82159,100.0,1.48416
129,211.503875969,60.86981,100.0,1.49178
130,211.138461538,60.77712,100.0,1.4866
131,210.694656489,60.75579,100.0,1.57905
132,212.143939394,62.75712,100.0,1.41481
133,212.067669173,62.52689,100.0,1.56438
134,211.694029851,62.442,100.0,1.60979
135,212.111111111,62.39737,100.0,1.53109
136,212.705882353,62.55046,100.0,1.43003
137,212.766423358,62.32576,100.0,1.42054
138,213.311594203,62.42651,100.0,1.44891
139,212.848920863,62.43856,100.0,1.4402
140,212.95,62.22658,100.0,1.41422
141,213.212765957,62.08343,100.0,1.68718
142,213.105633803,61.87752,100.0,1.45064
143,213.293706294,61.7015,100.0,1.43435
144,213.597222222,61.59391,100.0,1.54393
145,213.468965517,61.40044,100.0,1.43175
146,214.04109589,61.57642,100.0,1.41955
147,214.408163265,61.52669,100.0,1.57239
148,214.547297297,61.34168,100.0,1.43308
149,214.161073826,61.31578,100.0,1.41468
150,213.746666667,61.32006,100.0,1.41876
151,213.291390728,61.37051,100.0,1.44612
152,213.467105263,61.20639,100.0,1.49973
153,214.039215686,61.41245,100.0,1.6047
154,215.038961039,62.44934,100.0,1.54887
155,214.212903226,63.08601,100.0,1.44037
156,214.064102564,62.91077,100.0,1.4378
157,213.828025478,62.77938,100.0,1.79991
158,213.721518987,62.59462,100.0,1.61671
159,213.836477987,62.41421,100.0,1.84302
160,213.88125,62.22142,100.0,1.48181
161,213.763975155,62.04562,100.0,1.55445
162,213.339506173,62.08787,100.0,1.56945
163,213.417177914,61.90501,100.0,1.69873
164,213.091463415,61.85593,100.0,1.49077
165,213.090909091,61.6682,100.0,1.42151
166,212.704819277,61.68188,100.0,1.45012
167,212.479041916,61.56568,100.0,1.53703
168,212.202380952,61.48621,100.0,1.4154
169,211.75739645,61.57475,100.0,1.49967
170,212.152941176,61.60835,100.0,1.42798
171,211.567251462,61.90079,100.0,1.51411
172,211.505813953,61.72581,100.0,1.43784
173,212.595375723,63.18418,100.0,1.48812
174,212.350574713,63.08458,100.0,1.44353
175,212.411428571,62.9092,100.0,1.41484
176,212.471590909,62.73528,100.0,1.48168
177,212.474576271,62.55782,100.0,1.43373
178,212.280898876,62.43504,100.0,1.45463
179,212.921787709,62.8448,100.0,1.42195
180,212.283333333,63.24944,100.0,1.41518
181,211.91160221,63.27134,100.0,1.41503
182,212.401098901,63.44002,100.0,1.46041
183,212.327868852,63.27416,100.0,1.68751
184,212.255434783,63.10959,100.0,1.41465
185,212.281081081,62.93976,100.0,1.55661
186,212.435483871,62.80546,100.0,1.63515
187,211.903743316,63.05571,100.0,1.46308
188,211.994680851,62.90008,100.0,1.48977
189,211.841269841,62.76871,100.0,1.76735
190,211.321052632,63.0105,100.0,1.89698
191,211.172774869,62.87856,100.0,1.46651
192,211.166666667,62.71466,100.0,1.43691
193,211.222797927,62.55681,100.0,1.43384
194,211.24742268,62.39631,100.0,1.42777
195,211.769230769,62.65905,100.0,1.52545
196,212.06122449,62.63187,100.0,1.41505
197,212.299492386,62.5617,100.0,1.47825
198,212.398989899,62.41914,100.0,1.4182
199,212.40201005,62.26212,100.0,1.67728
200,212.34,62.11243,100.0,1.78803
201,212.313432836,61.95887,100.0,1.6972
202,212.336633663,61.80619,100.0,1.45863
203,212.064039409,61.77538,100.0,1.4615
204,212.156862745,61.63798,100.0,1.51898
205,212.282926829,61.51381,100.0,1.43981
206,212.752427184,61.73142,100.0,1.4299
207,212.642512077,61.60234,100.0,1.41507
208,212.403846154,61.54994,100.0,1.42022
209,212.114832536,61.54382,100.0,1.73125
210,212.361904762,61.50093,100.0,1.47179
211,212.82464455,61.72038,100.0,1.41694
212,212.778301887,61.57832,100.0,1.41655
213,212.511737089,61.55608,100.0,1.79145
214,212.518691589,61.41218,100.0,1.50444
215,212.897674419,61.51951,100.0,1.42011
216,212.652777778,61.48189,100.0,1.41968
217,212.465437788,61.40183,100.0,1.5086
218,212.408256881,61.26663,100.0,1.44172
219,212.484018265,61.13682,100.0,1.65923
220,212.718181818,61.09607,100.0,1.49263
221,213.063348416,61.1723,100.0,1.42628
222,212.842342342,61.12273,100.0,1.60193
223,213.125560538,61.13135,100.0,1.42443
224,212.799107143,61.18925,100.0,1.611
225,213.008888889,61.13381,100.0,1.95843
226,213.566371681,61.56892,100.0,1.46839
227,213.678414097,61.45625,100.0,1.53806
228,213.276315789,61.61986,100.0,1.50351
229,213.327510917,61.49003,100.0,1.42516
230,213.7,61.61459,100.0,1.54348
231,213.857142857,61.52725,100.0,1.41722
232,214.030172414,61.45081,100.0,1.41892
233,213.592274678,61.68048,100.0,1.51517
234,213.35042735,61.65916,100.0,1.43745
235,213.493617021,61.5668,100.0,1.41938
236,213.779661017,61.59251,100.0,1.41542
237,213.455696203,61.6636,100.0,1.41475
238,213.277310924,61.59517,100.0,1.44926
239,213.443514644,61.51963,100.0,1.41765
240,213.2,61.50665,100.0,1.72145
241,213.008298755,61.45072,100.0,1.41422
242,212.710743802,61.49735,100.0,1.45921
243,212.518518519,61.4435,100.0,1.41465
244,212.536885246,61.31813,100.0,1.42208
245,212.534693878,61.19287,100.0,2.18043
246,212.634146341,61.0882,100.0,1.43881
247,212.761133603,60.99694,100.0,1.4152
248,213.47983871,61.91292,100.0,1.48577
249,213.152610442,62.00299,100.0,1.42617
250,212.996,61.92818,100.0,1.41816
251,212.577689243,62.1576,100.0,1.48191
252,212.702380952,62.06559,100.0,1.42202
253,212.636363636,61.95168,100.0,1.5973
254,212.755905512,61.85883,100.0,1.73849
255,212.266666667,62.22785,100.0,2.15982
256,212.23046875,62.10888,100.0,1.42868
257,212.451361868,62.0886,100.0,1.55858
258,212.445736434,61.96823,100.0,1.44002
259,212.451737452,61.84856,100.0,1.41856
260,212.203846154,61.85828,100.0,1.47229
261,212.245210728,61.74327,100.0,1.42253
262,212.511450382,61.77525,100.0,1.6001
263,212.741444867,61.76998,100.0,1.63478
264,212.670454545,61.66363,100.0,1.42137
