simulation,sample_comp_mean,sample_comp_std,correctness,theta_dist
1,589.0,0.0,100.0,1.42461
2,454.5,134.5,100.0,1.868
3,492.666666667,122.36648,100.0,1.43779
4,513.25,111.80871,100.0,1.42097
5,508.2,100.51348,100.0,1.41772
6,513.5,92.51802,100.0,1.45571
7,528.285714286,92.99726,100.0,1.43316
8,514.125,94.71594,100.0,1.42076
9,510.777777778,89.7995,100.0,1.56339
10,499.3,91.88694,100.0,1.51811
11,491.363636364,91.13454,100.0,1.53266
12,492.666666667,87.36164,100.0,1.54757
13,494.538461538,84.18443,100.0,1.50251
14,489.214285714,83.36253,100.0,1.41489
15,500.266666667,90.53284,100.0,1.42648
16,498.6875,87.87115,100.0,1.41888
17,498.529411765,85.24989,100.0,1.49564
18,499.111111111,82.88271,100.0,1.43917
19,510.473684211,93.97837,100.0,1.4335
20,511.4,91.68773,100.0,1.4178
21,526.095238095,111.01948,100.0,1.42698
22,524.136363636,108.83778,100.0,1.583
23,527.695652174,107.74666,100.0,1.44303
24,526.625,105.60296,100.0,1.44619
25,528.24,103.77139,100.0,1.46492
26,526.038461538,102.34988,100.0,1.49416
27,528.62962963,101.30195,100.0,1.42415
28,526.392857143,100.15322,100.0,1.42385
29,528.413793103,98.9906,100.0,1.42344
30,528.166666667,97.33587,100.0,1.50597
31,534.129032258,101.16889,100.0,1.42225
32,535.65625,99.93798,100.0,1.43489
33,531.818181818,100.77862,100.0,1.43405
34,535.588235294,101.62015,100.0,1.46185
35,536.714285714,100.3729,100.0,1.43715
36,538.916666667,99.823,100.0,1.4168
37,538.081081081,98.59236,100.0,1.57337
38,539.210526316,97.52872,100.0,1.45286
39,541.435897436,97.2427,100.0,1.42589
40,538.75,97.47352,100.0,1.60266
41,539.292682927,96.33864,100.0,1.55217
42,538.19047619,95.44613,100.0,1.49051
43,533.651162791,98.81057,100.0,1.47735
44,533.318181818,97.70567,100.0,1.41435
45,536.066666667,98.31907,100.0,1.41427
46,538.5,98.605,100.0,1.4188
47,538.425531915,97.55168,100.0,1.50601
48,540.25,97.33715,100.0,1.45077
49,542.734693878,97.86471,100.0,1.44159
50,543.12,96.91865,100.0,1.42164
51,545.058823529,96.93811,100.0,1.45842
