simulation,sample_comp_mean,sample_comp_std,correctness
1,817.0,0.0,100.0
2,864.5,47.5,100.0
3,928.666666667,98.68581,100.0
4,904.0,95.54842,100.0
5,908.8,85.9986,100.0
6,882.833333333,97.64462,100.0
7,848.857142857,122.87674,100.0
8,815.25,145.3184,100.0
9,791.888888889,152.10847,100.0
10,783.7,146.37899,100.0
11,768.272727273,147.84764,100.0
12,758.166666667,145.46754,100.0
13,742.769230769,149.59286,100.0
14,747.214285714,145.03949,100.0
15,730.666666667,153.19124,100.0
16,749.8125,165.82906,100.0
17,749.882352941,160.87806,100.0
18,758.277777778,160.13148,100.0
19,756.368421053,156.07091,100.0
20,753.6,152.59699,100.0
21,759.571428571,151.29491,100.0
22,763.727272727,149.03818,100.0
23,751.52173913,156.60165,100.0
24,757.5,155.96234,100.0
25,760.72,153.62331,100.0
26,763.692307692,151.37136,100.0
27,770.37037037,152.39475,100.0
28,761.964285714,155.89293,100.0
29,762.724137931,153.2343,100.0
30,759.533333333,151.63547,100.0
31,755.677419355,150.65735,100.0
32,761.46875,151.75,100.0
33,759.303030303,149.93443,100.0
34,764.147058824,150.31127,100.0
35,759.771428571,150.32937,100.0
36,757.888888889,148.64458,100.0
37,756.864864865,146.75078,100.0
38,755.5,145.04478,100.0
39,754.641025641,143.27103,100.0
40,759.5,144.68656,100.0
41,757.756097561,143.33617,100.0
42,760.5,142.7052,100.0
43,760.302325581,141.04189,100.0
44,758.568181818,139.89288,100.0
45,761.533333333,139.72109,100.0
46,762.5,138.34609,100.0
47,766.872340426,140.04218,100.0
48,765.916666667,138.73053,100.0
49,766.306122449,137.33412,100.0
50,764.06,136.85999,100.0
51,763.176470588,135.65552,100.0
52,759.538461538,136.83391,100.0
53,755.905660377,138.04528,100.0
54,754.37037037,137.21709,100.0
55,752.363636364,136.76129,100.0
56,754.017857143,136.0888,100.0
57,754.666666667,134.9771,100.0
58,756.862068966,134.83111,100.0
59,758.355932203,134.16683,100.0
60,755.55,134.77851,100.0
61,756.508196721,133.87511,100.0
62,756.693548387,132.79897,100.0
63,752.873015873,135.13186,100.0
64,757.859375,139.79168,100.0
65,757.2,138.81246,100.0
66,758.681818182,138.2739,100.0
67,757.731343284,137.45518,100.0
68,758.691176471,136.66675,100.0
69,758.927536232,135.6868,100.0
70,758.7,134.72738,100.0
71,760.563380282,134.68061,100.0
72,760.5,133.74312,100.0
73,761.246575342,132.9749,100.0
74,761.27027027,132.07352,100.0
75,758.56,133.24566,100.0
76,759.697368421,132.73212,100.0
77,757.194805195,133.65997,100.0
78,754.474358974,134.92892,100.0
79,753.050632911,134.66056,100.0
80,751.6125,134.4254,100.0
81,751.419753086,133.60416,100.0
82,750.548780488,133.01817,100.0
83,752.963855422,134.01092,100.0
84,756.202380952,136.43914,100.0
85,755.129411765,135.99021,100.0
86,752.744186047,136.97404,100.0
87,752.862068966,136.18895,100.0
88,753.068181818,135.42658,100.0
89,754.078651685,134.99681,100.0
90,753.833333333,134.26468,100.0
91,757.428571429,137.81227,100.0
92,757.413043478,137.06133,100.0
93,758.290322581,136.5819,100.0
94,758.531914894,135.87343,100.0
95,757.557894737,135.48593,100.0
96,758.78125,135.30484,100.0
97,760.412371134,135.55101,100.0
98,762.989795918,137.22598,100.0
99,761.393939394,137.44213,100.0
100,759.58,137.93906,100.0
101,759.99009901,137.31574,100.0
102,757.990196078,138.11124,100.0
103,758.631067961,137.59149,100.0
104,760.134615385,137.77602,100.0
105,760.39047619,137.1432,100.0
106,760.103773585,136.52638,100.0
107,760.542056075,135.96181,100.0
108,759.398148148,135.8472,100.0
109,758.660550459,135.4397,100.0
110,760.409090909,136.05295,100.0
111,760.864864865,135.52304,100.0
112,761.089285714,134.93739,100.0
113,759.566371681,135.30234,100.0
114,758.51754386,135.1682,100.0
115,758.208695652,134.61962,100.0
116,756.663793103,135.05809,100.0
117,756.068376068,134.6325,100.0
118,756.694915254,134.232,100.0
119,755.478991597,134.31781,100.0
120,755.225,133.78568,100.0
121,756.603305785,134.0845,100.0
122,756.073770492,133.66082,100.0
123,756.731707317,133.3146,100.0
