simulation,sample_comp_mean,sample_comp_std,correctness,theta_dist
1,2729.0,0.0,100.0,1.48058
2,4765.0,2036.0,100.0,1.4211
3,4127.0,1891.4594,100.0,1.49014
4,4012.25,1650.06566,100.0,1.43456
5,4378.0,1647.19932,100.0,1.43035
6,4217.16666667,1546.08909,100.0,1.51972
7,3993.0,1533.10507,100.0,1.49549
8,4119.5,1472.62538,100.0,1.41482
9,3937.66666667,1480.5992,100.0,1.4803
10,3972.8,1408.56869,100.0,1.5449
11,3898.63636364,1363.34097,100.0,1.43784
12,4016.58333333,1362.65675,100.0,1.41598
13,4067.69230769,1321.11529,100.0,1.42228
14,4148.57142857,1306.03089,100.0,1.45826
15,3990.0,1394.28505,100.0,1.56448
16,4017.6875,1354.26284,100.0,1.42022
17,3992.23529412,1317.76663,100.0,1.41633
18,4015.66666667,1284.27788,100.0,1.4146
19,3984.36842105,1257.05735,100.0,1.50746
20,4119.25,1358.98907,100.0,1.42421
21,4189.57142857,1363.01433,100.0,1.41714
22,4186.40909091,1331.75532,100.0,1.45536
23,4223.65217391,1314.14438,100.0,1.46415
24,4264.41666667,1301.24488,100.0,1.42919
25,4242.8,1279.34493,100.0,1.42163
26,4235.5,1255.03179,100.0,1.42283
27,4270.66666667,1244.5568,100.0,1.43151
28,4269.71428571,1222.14054,100.0,1.45874
29,4267.03448276,1200.96801,100.0,1.41581
30,4221.6,1205.86532,100.0,1.50441
31,4213.16129032,1187.15657,100.0,1.41623
32,4166.8125,1196.61746,100.0,1.5065
33,4152.84848485,1180.99214,100.0,1.50056
34,4098.5,1204.65539,100.0,1.50595
35,4068.05714286,1200.51739,100.0,1.48444
36,4073.38888889,1184.1463,100.0,1.42449
37,4116.2972973,1196.071,100.0,1.42953
38,4103.42105263,1182.82431,100.0,1.48505
39,4148.48717949,1200.15665,100.0,1.42129
40,4091.55,1237.2544,100.0,1.58516
41,4092.70731707,1222.09471,100.0,1.51711
42,4081.71428571,1209.50829,100.0,1.41777
43,4053.23255814,1209.52879,100.0,1.47478
44,4059.02272727,1196.30783,100.0,1.50106
45,4073.91111111,1187.05613,100.0,1.41836
46,4097.86956522,1185.03162,100.0,1.47887
47,4099.85106383,1172.43415,100.0,1.45238
48,4132.25,1181.22808,100.0,1.41457
49,4171.26530612,1199.95399,100.0,1.43114
50,4177.38,1188.66474,100.0,1.44492
51,4172.52941176,1177.45314,100.0,1.42406
52,4147.25,1179.96861,100.0,1.56733
53,4118.43396226,1187.11185,100.0,1.56248
54,4090.38888889,1193.65971,100.0,1.5608
55,4087.98181818,1182.89073,100.0,1.51698
