simulation,sample_comp_mean,sample_comp_std,correctness,theta_dist
1,2518.0,0.0,100.0,1.42842
2,3357.5,839.5,100.0,1.48162
3,2889.66666667,952.66795,100.0,1.42965
4,3155.25,944.60875,100.0,1.50894
5,3267.6,874.25319,100.0,1.4153
6,3222.16666667,804.52044,100.0,1.41482
7,3271.57142857,754.6081,100.0,1.41819
8,3319.75,717.28825,100.0,1.41614
9,3302.33333333,678.05768,100.0,1.52364
10,3248.3,663.372,100.0,1.43869
11,3155.90909091,696.71912,100.0,1.42761
12,3104.33333333,688.64121,100.0,1.41547
13,3156.61538462,685.96552,100.0,1.47898
14,3203.28571429,682.09503,100.0,1.5159
15,3175.6,667.059,100.0,1.41422
16,3191.5,648.80612,100.0,1.70565
17,3113.35294118,702.77952,100.0,1.43232
18,3149.5,699.0512,100.0,1.4366
19,3114.05263158,696.82872,100.0,1.4169
20,3134.35,684.92294,100.0,1.55875
21,3166.14285714,683.37115,100.0,1.57067
22,3154.5,669.78781,100.0,1.42227
23,3137.17391304,660.08706,100.0,1.41681
24,3208.70833333,731.61132,100.0,1.42662
25,3193.28,720.80352,100.0,1.42671
26,3188.69230769,707.17813,100.0,1.48076
27,3187.66666667,693.97839,100.0,1.41521
28,3199.14285714,684.07731,100.0,1.43953
29,3158.03448276,706.50004,100.0,1.41783
30,3145.4,697.9495,100.0,1.42215
31,3182.70967742,716.36575,100.0,1.46697
32,3178.5625,705.46168,100.0,1.41819
33,3213.3030303,721.95293,100.0,1.45158
34,3186.17647059,728.12719,100.0,1.45824
35,3149.08571429,749.53061,100.0,1.42122
36,3142.52777778,740.06481,100.0,1.49693
37,3107.21621622,760.1197,100.0,1.41436
38,3103.18421053,750.45231,100.0,1.47529
39,3094.48717949,742.70617,100.0,1.41962
40,3092.8,733.43927,100.0,1.47136
41,3068.97560976,739.94385,100.0,1.41428
42,3054.0,737.34375,100.0,1.41429
43,3049.41860465,729.32416,100.0,1.41464
44,3061.38636364,725.24724,100.0,1.42557
45,3044.13333333,726.21786,100.0,1.41773
46,3053.47826087,721.01115,100.0,1.43694
47,3015.21276596,759.04657,100.0,1.41576
48,3002.6875,755.99074,100.0,1.41482
49,3013.48979592,751.97034,100.0,1.45197
50,3007.48,745.60041,100.0,1.42026
51,3028.17647059,752.61994,100.0,1.46089
52,3021.21153846,747.00588,100.0,1.41522
53,3052.88679245,774.37838,100.0,1.52556
54,3038.22222222,774.5674,100.0,1.5236
55,3046.89090909,770.13264,100.0,1.41728
56,3040.76785714,764.57516,100.0,1.42785
57,3025.10526316,766.84889,100.0,1.62118
58,3021.5862069,760.6735,100.0,1.44067
59,3023.23728814,754.30438,100.0,1.42146
60,3040.81666667,760.08237,100.0,1.4345
61,3041.37704918,753.83894,100.0,1.46099
62,3035.41935484,749.18129,100.0,1.41994
63,3052.17460317,754.83063,100.0,1.47631
64,3034.546875,761.86814,100.0,1.41477
65,3053.98461538,771.81216,100.0,1.43665
66,3048.01515152,767.45331,100.0,1.41775
67,3031.28358209,773.73779,100.0,1.51506
68,3004.17647059,799.43574,100.0,1.41501
69,2995.88405797,796.5621,100.0,1.54555
70,3003.94285714,793.67996,100.0,1.4333
71,2998.76056338,789.26269,100.0,1.41444
72,3006.43055556,786.42263,100.0,1.47151
73,2991.0,791.91656,100.0,1.41723
74,2998.41891892,789.0976,100.0,1.46753
75,3018.61333333,802.83931,100.0,1.49032
76,3012.47368421,799.31043,100.0,1.47425
77,2993.81818182,810.58616,100.0,1.41723
78,3015.94871795,828.45505,100.0,1.42313
79,3012.50632911,823.75618,100.0,1.4195
80,3003.1875,822.77122,100.0,1.43705
81,2992.9382716,822.79935,100.0,1.41516
82,2996.65853659,818.45205,100.0,1.43457
83,2989.42168675,816.14191,100.0,1.42097
84,2990.78571429,811.36455,100.0,1.42154
85,3003.52941176,814.99039,100.0,1.61924
86,2998.72093023,811.45012,100.0,1.46589
87,2994.57471264,807.68888,100.0,1.46185
88,3007.21590909,811.6962,100.0,1.43037
89,2988.42696629,826.14408,100.0,1.41663
90,2991.35555556,822.00601,100.0,1.41739
91,2980.59340659,823.82815,100.0,1.41422
92,2971.90217391,823.5227,100.0,1.49779
93,2962.70967742,823.81518,100.0,1.41548
94,2956.74468085,821.43813,100.0,1.41709
95,2956.57894737,817.10491,100.0,1.41612
96,2943.10416667,823.38008,100.0,1.54936
97,2936.13402062,821.96685,100.0,1.4206
98,2923.25510204,827.54116,100.0,1.6213
99,2928.31313131,824.8722,100.0,1.45715
100,2943.71,834.91275,100.0,1.46371
101,2941.79207921,830.9906,100.0,1.41539
102,2933.58823529,831.00718,100.0,1.41478
103,2940.98058252,830.32663,100.0,1.46332
104,2944.30769231,827.01465,100.0,1.49284
105,2940.73333333,823.87384,100.0,1.43043
106,2949.43396226,824.81102,100.0,1.42404
107,2951.06542056,821.11954,100.0,1.58154
108,2969.37962963,838.97751,100.0,1.57375
109,2978.10091743,840.02392,100.0,1.43892
110,2982.11818182,837.24809,100.0,1.4177
111,2990.61261261,838.21613,100.0,1.45049
112,2990.32142857,834.47134,100.0,1.41492
113,2980.14159292,837.72701,100.0,1.42258
114,2969.53508772,841.63103,100.0,1.42612
115,2963.8,840.19813,100.0,1.45552
116,2961.75,836.85754,100.0,1.44312
117,2971.27350427,839.56279,100.0,1.42084
118,2968.04237288,836.728,100.0,1.43236
119,2983.68907563,850.36411,100.0,1.43734
120,2982.88333333,846.85913,100.0,1.41558
121,2988.58677686,845.66357,100.0,1.50668
122,2997.81147541,848.28151,100.0,1.41676
123,2999.55284553,845.04509,100.0,1.42709
124,2997.7016129,841.88114,100.0,1.42505
125,2995.8,838.77419,100.0,1.45685
126,3006.68253968,844.25244,100.0,1.47456
127,3011.39370079,842.58321,100.0,1.41501
128,3008.375,839.97458,100.0,1.41437
129,3010.6744186,837.11686,100.0,1.46729
130,2998.11538462,846.00309,100.0,1.41515
131,2997.27480916,842.82238,100.0,1.42239
132,2990.88636364,842.80159,100.0,1.42067
133,2988.28571429,840.15866,100.0,1.4551
134,3002.55223881,853.03511,100.0,1.49867
135,2998.94074074,850.89748,100.0,1.41455
136,3002.70588235,848.89139,100.0,1.58736
137,3010.24087591,850.34003,100.0,1.42395
138,3008.07246377,847.63356,100.0,1.50571
139,3005.87769784,844.97246,100.0,1.4252
140,3000.9,843.99211,100.0,1.46898
141,2998.37588652,841.52404,100.0,1.42189
142,3000.35915493,838.88631,100.0,1.4148
143,2995.81818182,837.69753,100.0,1.42492
144,2992.5625,835.69115,100.0,1.49173
145,3006.30344828,848.97141,100.0,1.42964
146,3005.88356164,846.07409,100.0,1.47347
147,3010.06802721,844.70594,100.0,1.63475
148,3011.58108108,842.04722,100.0,1.57001
149,3012.08053691,839.23879,100.0,1.61702
150,3013.21333333,836.55094,100.0,1.47855
151,3009.73509934,834.86384,100.0,1.41495
152,3016.69078947,836.49133,100.0,1.47682
153,3017.30065359,833.78712,100.0,1.61255
154,3013.29220779,832.55332,100.0,1.41811
155,3018.53548387,832.41028,100.0,1.55042
156,3012.84615385,832.75584,100.0,1.43112
157,3014.68789809,830.41818,100.0,1.42407
158,3015.88607595,827.92224,100.0,1.45345
159,3006.16352201,834.31386,100.0,1.41601
160,3004.44375,831.98521,100.0,1.45828
161,3000.33540373,831.02381,100.0,1.42094
162,2996.70987654,829.7312,100.0,1.46702
163,2998.48466258,827.49048,100.0,1.41428
164,2991.66463415,829.54616,100.0,1.50715
165,2980.9030303,838.43272,100.0,1.42432
166,2978.0,836.73486,100.0,1.41422
167,2984.05389222,837.86437,100.0,1.43381
168,2984.05357143,835.367,100.0,1.41459
169,2984.83431953,832.95331,100.0,1.52595
170,2979.65882353,833.22072,100.0,1.41604
171,2985.55555556,834.33083,100.0,1.41861
172,2989.97674419,833.90846,100.0,1.42734
173,2986.40462428,832.81353,100.0,1.42307
174,2984.18390805,830.93047,100.0,1.5561
175,2974.96571429,837.42803,100.0,1.42532
176,2970.91477273,836.76335,100.0,1.41759
177,2969.78531073,834.5308,100.0,1.4248
178,2966.34269663,833.44273,100.0,1.46626
179,2967.74301676,831.32138,100.0,1.41705
180,2965.09444444,829.76592,100.0,1.41814
181,2967.67955801,828.19711,100.0,1.41531
182,2964.73626374,826.86741,100.0,1.53409
183,2967.64480874,825.53816,100.0,1.41429
184,2966.28804348,823.49636,100.0,1.44146
185,2975.48648649,830.69193,100.0,1.49634
186,2978.8655914,829.7298,100.0,1.42592
187,2985.00534759,831.73406,100.0,1.46251
188,2985.58510638,829.55694,100.0,1.41779
189,2987.56613757,827.80519,100.0,1.42581
190,2990.33157895,826.49876,100.0,1.41439
191,2990.63874346,824.34318,100.0,1.41874
192,2999.546875,831.35983,100.0,1.47058
193,2998.95854922,829.24333,100.0,1.4372
194,2998.51546392,827.12625,100.0,1.42819
195,2997.47179487,825.13074,100.0,1.59539
196,2998.35714286,823.11598,100.0,1.42517
197,2997.26395939,821.16683,100.0,1.47527
198,3002.97474747,823.0031,100.0,1.4699
199,3005.74371859,821.85675,100.0,1.46658
200,3004.225,820.07943,100.0,1.42137
201,3009.19900498,821.05572,100.0,1.46048
202,3012.4009901,820.278,100.0,1.48673
203,3017.03448276,820.90087,100.0,1.44569
204,3018.29901961,819.08456,100.0,1.54082
205,3017.8,817.11543,100.0,1.41421
206,3017.61650485,815.13397,100.0,1.54396
207,3015.89371981,813.53852,100.0,1.44439
208,3016.61538462,811.64695,100.0,1.41453
209,3015.75598086,809.79774,100.0,1.50516
210,3010.93809524,810.86434,100.0,1.41431
211,3021.25118483,822.63018,100.0,1.43912
212,3016.3254717,823.8008,100.0,1.42205
213,3010.25821596,826.59886,100.0,1.42957
214,3011.26168224,824.79532,100.0,1.41459
215,3010.33488372,822.98664,100.0,1.51549
216,3018.66203704,830.10828,100.0,1.41889
217,3016.58064516,828.75812,100.0,1.41713
218,3017.4587156,826.95628,100.0,1.44785
219,3015.97260274,825.35781,100.0,1.54975
220,3010.15,827.97571,100.0,1.41667
221,3007.07692308,827.35688,100.0,1.47118
222,3006.78828829,825.50251,100.0,1.41504
223,3007.32286996,823.68804,100.0,1.41714
224,3010.84821429,823.53178,100.0,1.41697
225,3015.30222222,824.39924,100.0,1.51197
226,3016.16814159,822.67587,100.0,1.41904
227,3018.39207048,821.54237,100.0,1.45888
228,3023.99561404,824.07486,100.0,1.45419
229,3024.09170306,822.27488,100.0,1.41422
230,3024.49130435,820.50766,100.0,1.42086
231,3025.05627706,818.77458,100.0,1.42305
232,3019.52586207,821.32055,100.0,1.45019
233,3018.63090129,819.66952,100.0,1.41461
234,3019.15384615,817.95516,100.0,1.41732
235,3020.70638298,816.55842,100.0,1.49908
236,3019.73728814,814.962,100.0,1.47496
237,3018.6835443,813.40195,100.0,1.41885
238,3017.19327731,812.0155,100.0,1.41879
239,3014.25941423,811.57803,100.0,1.4179
240,3013.80833333,809.9155,100.0,1.4441
241,3015.53941909,808.67823,100.0,1.48177
242,3023.49586777,816.4035,100.0,1.41468
243,3021.83539095,815.13131,100.0,1.42305
244,3015.05737705,820.29246,100.0,1.41747
245,3023.6244898,829.48283,100.0,1.43222
246,3033.1097561,841.0039,100.0,1.54037
247,3030.92712551,839.9976,100.0,1.56997
248,3033.03225806,838.95496,100.0,1.58645
249,3032.00803213,837.42396,100.0,1.42892
250,3024.62,843.83941,100.0,1.41587
251,3028.03585657,843.88687,100.0,1.4247
252,3031.5,843.99713,100.0,1.46455
253,3032.58102767,842.50229,100.0,1.42001
254,3032.74015748,840.846,100.0,1.43229
255,3029.76470588,840.53441,100.0,1.41605
256,3025.15625,842.11281,100.0,1.41863
257,3026.23346304,840.64957,100.0,1.42705
258,3022.57364341,841.06772,100.0,1.42795
259,3023.08494208,839.48264,100.0,1.42564
260,3025.18846154,838.55031,100.0,1.44284
261,3021.93869732,838.58115,100.0,1.41457
262,3019.66793893,837.78286,100.0,1.4236
263,3021.47908745,836.70233,100.0,1.44991
264,3016.40151515,839.16602,100.0,1.4209
265,3018.42264151,838.22472,100.0,1.60935
266,3015.70676692,837.81495,100.0,1.41946
267,3016.73033708,836.41115,100.0,1.41671
268,3013.85820896,836.16729,100.0,1.41661
269,3013.05576208,834.715,100.0,1.4598
270,3009.72592593,834.95581,100.0,1.41953
271,3014.18081181,836.62244,100.0,1.51655
272,3018.77573529,838.50195,100.0,1.56548
273,3014.66666667,839.70393,100.0,1.41679
274,3007.6459854,846.15925,100.0,1.41453
275,3011.48,847.00036,100.0,1.41718
276,3015.74275362,848.41461,100.0,1.41903
277,3017.57039711,847.42591,100.0,1.5128
278,3015.73021583,846.45465,100.0,1.49008
279,3012.92473118,846.23016,100.0,1.42115
280,3017.99285714,848.94896,100.0,1.50174
281,3021.12455516,849.05573,100.0,1.42091
282,3022.91134752,848.07805,100.0,1.4241
283,3022.795053,846.58061,100.0,1.43558
284,3023.81690141,845.26365,100.0,1.47514
285,3021.32631579,844.82269,100.0,1.42169
286,3019.95804196,843.66072,100.0,1.41976
287,3019.38675958,842.24506,100.0,1.47879
288,3017.47916667,841.4024,100.0,1.42423
289,3018.23183391,840.04254,100.0,1.48511
290,3016.5137931,839.10139,100.0,1.42068
291,3015.48453608,837.84176,100.0,1.41559
292,3015.93150685,836.44062,100.0,1.41741
293,3013.60068259,835.96139,100.0,1.41628
294,3011.13945578,835.60119,100.0,1.42944
295,3010.84745763,834.19874,100.0,1.42795
296,3009.75337838,833.00041,100.0,1.43365
297,3005.48821549,834.82817,100.0,1.41896
298,3005.90604027,833.45738,100.0,1.44404
299,3005.47826087,832.09524,100.0,1.41744
300,3001.81666667,833.11663,100.0,1.4144
301,3002.07973422,831.74405,100.0,1.47898
302,3006.71854305,834.25687,100.0,1.53483
303,3011.33333333,836.73115,100.0,1.42627
304,3012.12171053,835.46653,100.0,1.41469
305,3010.34754098,834.6692,100.0,1.68963
306,3013.00326797,834.59397,100.0,1.50471
307,3010.00325733,834.88457,100.0,1.41426
308,3014.72727273,837.62776,100.0,1.44853
309,3019.11326861,839.8063,100.0,1.51329
310,3017.2483871,839.09128,100.0,1.42518
311,3014.76848875,838.87827,100.0,1.416
312,3016.94230769,838.40973,100.0,1.66548
313,3022.01277955,841.84708,100.0,1.48244
314,3019.61464968,841.57563,100.0,1.49336
315,3020.10793651,840.2842,100.0,1.49481
316,3016.76898734,841.04395,100.0,1.41655
317,3015.47003155,840.03375,100.0,1.42326
318,3014.51886792,838.88286,100.0,1.41784
319,3016.68025078,838.45333,100.0,1.57757
320,3016.5875,837.14386,100.0,1.45558
321,3016.66043614,835.8399,100.0,1.44201
322,3016.83540373,834.54689,100.0,1.44487
323,3018.70897833,833.93199,100.0,1.45546
324,3022.97530864,836.167,100.0,1.47832
325,3022.98461538,834.87961,100.0,1.45789
326,3022.01533742,833.78126,100.0,1.45664
327,3022.72782875,832.60478,100.0,1.58336
328,3018.13414634,835.47444,100.0,1.49795
329,3020.60486322,835.40299,100.0,1.41736
330,3018.82727273,834.75919,100.0,1.419
331,3019.22960725,833.52931,100.0,1.41666
332,3024.29518072,837.36008,100.0,1.42155
333,3024.4984985,836.11004,100.0,1.41906
334,3026.66467066,835.79273,100.0,1.46329
335,3027.85074627,834.82581,100.0,1.52138
336,3024.53571429,835.78788,100.0,1.52458
337,3025.62611276,834.78623,100.0,1.41943
338,3029.64497041,836.80898,100.0,1.55058
339,3029.7079646,835.57464,100.0,1.53766
340,3029.44705882,834.35878,100.0,1.41423
341,3026.82991202,834.53093,100.0,1.41596
342,3026.30116959,833.36716,100.0,1.41511
343,3028.7755102,833.4086,100.0,1.41714
344,3026.49127907,833.27095,100.0,1.4556
345,3025.56811594,832.23858,100.0,1.41799
346,3024.28612717,831.37613,100.0,1.41658
347,3025.20172911,830.352,100.0,1.41788
348,3027.12068966,829.92828,100.0,1.45899
349,3028.13467049,828.95426,100.0,1.47002
350,3024.20857143,831.01228,100.0,1.47915
351,3023.01709402,830.12699,100.0,1.41421
352,3021.69602273,829.3164,100.0,1.41431
353,3021.20396601,828.19235,100.0,1.42532
354,3024.75141243,829.70313,100.0,1.43808
355,3019.8,833.75472,100.0,1.51384
356,3018.18539326,833.13849,100.0,1.42899
357,3021.19887955,833.91145,100.0,1.46065
358,3018.4273743,834.39081,100.0,1.43953
359,3017.20891365,833.54678,100.0,1.42249
360,3015.29444444,833.17827,100.0,1.41431
361,3014.49861496,832.16049,100.0,1.49904
362,3016.19060773,831.6319,100.0,1.44146
363,3016.9338843,830.60601,100.0,1.41869
364,3018.07142857,829.74738,100.0,1.46285
365,3018.29315068,828.62076,100.0,1.43571
366,3015.36065574,829.38242,100.0,1.41591
367,3015.19891008,828.25748,100.0,1.46143
368,3012.58423913,828.64666,100.0,1.43
369,3013.17615176,827.60097,100.0,1.41428
370,3013.03513514,826.48628,100.0,1.42373
371,3015.14555256,826.36935,100.0,1.52023
372,3013.29301075,826.02895,100.0,1.43813
373,3012.02412869,825.28388,100.0,1.43273
374,3010.37700535,824.79351,100.0,1.4464
375,3007.73066667,825.28141,100.0,1.41443
376,3004.08776596,827.19679,100.0,1.4758
377,3003.50132626,826.17724,100.0,1.42123
378,3000.48412698,827.16087,100.0,1.41444
379,2997.87598945,827.6238,100.0,1.47069
380,2996.40526316,827.02987,100.0,1.41797
381,2995.60104987,826.09258,100.0,1.53388
382,2993.53141361,825.99907,100.0,1.41421
383,2991.7075718,825.68987,100.0,1.41438
384,2990.80729167,824.80225,100.0,1.41546
385,2988.17662338,825.34186,100.0,1.41537
386,2986.89637306,824.65476,100.0,1.45774
387,2987.24031008,823.61635,100.0,1.55176
388,2984.68814433,824.08514,100.0,1.41509
389,2985.75064267,823.29128,100.0,1.42324
390,2986.13076923,822.26928,100.0,1.51544
391,2981.81329923,825.63149,100.0,1.41468
392,2976.86989796,830.35135,100.0,1.42448
