simulation,sample_comp_mean,sample_comp_std,correctness,theta_dist
1,3686.0,0.0,100.0,1.48754
2,4871.0,1185.0,100.0,1.42395
3,4712.66666667,993.12078,100.0,1.41423
4,4268.0,1154.51375,100.0,1.50801
5,4003.6,1160.1513,100.0,1.57406
6,3784.0,1167.36741,100.0,1.415
7,3787.14285714,1080.79963,100.0,1.46004
8,3648.5,1075.4835,100.0,1.6665
9,3591.77777778,1026.58937,100.0,1.41591
10,3563.2,977.67447,100.0,1.45781
11,3719.09090909,1054.50078,100.0,1.48887
12,3801.66666667,1046.09459,100.0,1.42036
13,3745.46153846,1023.74025,100.0,1.61954
14,3819.5,1021.98132,100.0,1.41854
15,3805.46666667,988.72301,100.0,1.41835
16,3791.0625,958.95102,100.0,1.49975
17,3776.64705882,932.10438,100.0,1.48335
18,3878.0,997.58809,100.0,1.4209
19,3859.52631579,974.1391,100.0,1.56203
20,3956.7,1039.66889,100.0,1.4199
21,4015.19047619,1047.78917,100.0,1.43515
22,4082.68181818,1069.39985,100.0,1.44726
23,4085.91304348,1046.00349,100.0,1.44158
24,4136.625,1052.46567,100.0,1.41849
25,4058.2,1100.44907,100.0,1.6291
26,4011.80769231,1103.72906,100.0,1.44067
27,4058.96296296,1109.46509,100.0,1.45566
28,4056.75,1089.53377,100.0,1.45878
29,4025.13793103,1083.57323,100.0,1.44307
30,4003.93333333,1071.46286,100.0,1.51851
31,4002.35483871,1054.075,100.0,1.43
32,4044.4375,1063.60354,100.0,1.41628
33,4003.63636364,1072.49409,100.0,1.46071
34,4046.29411765,1084.64853,100.0,1.41912
35,4045.34285714,1069.05566,100.0,1.43003
36,4036.63888889,1055.36008,100.0,1.44781
37,4025.45945946,1043.15956,100.0,1.41422
38,4007.76315789,1034.95526,100.0,1.49432
39,3980.79487179,1035.03837,100.0,1.49178
40,4013.975,1042.81241,100.0,1.42433
41,4004.70731707,1031.68307,100.0,1.43583
42,3976.19047619,1035.55272,100.0,1.42785
43,3961.86046512,1027.6455,100.0,1.44375
44,3963.20454545,1015.93883,100.0,1.41777
45,3927.48888889,1032.14447,100.0,1.49339
46,3933.65217391,1021.70074,100.0,1.41495
47,3919.46808511,1015.34084,100.0,1.44366
48,3935.91666667,1011.01716,100.0,1.41812
49,3933.89795918,1000.74522,100.0,1.46781
50,3961.52,1009.37954,100.0,1.41839
51,3961.84313725,999.43728,100.0,1.41826
52,3972.67307692,992.79777,100.0,1.45766
53,4003.26415094,1007.82568,100.0,1.43229
54,3995.55555556,1000.02625,100.0,1.41834
55,4028.89090909,1020.72377,100.0,1.41459
56,4023.07142857,1012.48936,100.0,1.51401
57,4022.40350877,1003.58102,100.0,1.41507
58,4017.0,995.72791,100.0,1.41617
59,4025.20338983,989.22827,100.0,1.42222
60,4027.28333333,981.08015,100.0,1.46137
61,3997.73770492,999.55787,100.0,1.46141
62,3998.32258065,991.47467,100.0,1.42032
63,3982.98412698,990.96172,100.0,1.42069
64,3965.703125,992.71102,100.0,1.47172
65,3959.10769231,986.4573,100.0,1.41475
66,3968.01515152,981.58615,100.0,1.42379
67,3997.31343284,1002.88798,100.0,1.42209
68,3985.98529412,999.7956,100.0,1.42839
69,3971.69565217,999.49467,100.0,1.4186
70,3996.35714286,1013.25385,100.0,1.41561
71,3986.18309859,1009.68749,100.0,1.54073
72,3965.625,1017.50511,100.0,1.42946
73,3964.54794521,1010.55319,100.0,1.41897
74,3956.24324324,1006.20683,100.0,1.45969
75,3939.96,1009.24401,100.0,1.46358
76,3951.94736842,1007.94269,100.0,1.44341
77,3967.42857143,1010.43014,100.0,1.41815
78,3964.76923077,1004.20331,100.0,1.41436
79,3961.48101266,998.24986,100.0,1.41543
80,3960.0125,992.07704,100.0,1.44554
81,3972.77777778,992.52316,100.0,1.46123
82,3979.51219512,988.31287,100.0,1.4169
83,3994.13253012,991.22245,100.0,1.41753
84,3975.16666667,1000.34029,100.0,1.60084
85,3989.77647059,1003.41291,100.0,1.41597
86,3979.72093023,1001.86064,100.0,1.4156
87,3997.32183908,1009.37098,100.0,1.42409
88,4007.26136364,1007.89248,100.0,1.42402
89,4024.1011236,1014.58763,100.0,1.42787
90,4020.17777778,1009.61397,100.0,1.43783
91,4014.85714286,1005.31929,100.0,1.41904
92,4012.08695652,1000.18983,100.0,1.48009
93,4009.74193548,995.05218,100.0,1.47262
94,4010.54255319,989.77531,100.0,1.45349
95,4016.8,986.4196,100.0,1.41543
96,4016.42708333,981.27528,100.0,1.41891
97,4022.64948454,978.10599,100.0,1.42201
98,4026.2755102,973.75794,100.0,1.43149
99,4020.7979798,970.34377,100.0,1.4319
100,4035.7,976.79901,100.0,1.41514
101,4028.88118812,974.34031,100.0,1.43891
102,4025.40196078,970.18266,100.0,1.45902
103,4050.3592233,997.82174,100.0,1.42048
104,4048.77884615,993.14246,100.0,1.42405
105,4049.6,988.43737,100.0,1.42085
106,4048.02830189,983.8957,100.0,1.49584
107,4055.77570093,982.53035,100.0,1.46052
108,4054.58333333,978.0488,100.0,1.60216
109,4058.63302752,974.46123,100.0,1.42038
110,4059.93636364,970.11718,100.0,1.45259
111,4050.54054054,970.75213,100.0,1.48105
112,4050.91071429,966.41656,100.0,1.42416
113,4051.78761062,962.17564,100.0,1.6582
114,4055.0,958.55472,100.0,1.41721
115,4072.33913043,972.16816,100.0,1.42084
116,4062.35344828,973.87398,100.0,1.54629
117,4075.41880342,979.86014,100.0,1.41969
118,4070.96610169,976.88737,100.0,1.41476
119,4099.55462185,1021.14217,100.0,1.42271
120,4105.41666667,1018.88722,100.0,1.45523
121,4098.74380165,1017.29781,100.0,1.41968
122,4104.1557377,1014.86751,100.0,1.44049
123,4121.85365854,1029.46337,100.0,1.41732
124,4115.83870968,1027.47175,100.0,1.41483
125,4127.608,1031.7115,100.0,1.41706
126,4118.24603175,1032.92622,100.0,1.54201
127,4122.71653543,1030.07459,100.0,1.42045
128,4126.765625,1027.05714,100.0,1.4194
129,4132.66666667,1025.24461,100.0,1.43667
130,4129.83846154,1021.79879,100.0,1.4283
131,4127.76335878,1018.16626,100.0,1.42285
132,4128.78787879,1014.37002,100.0,1.42307
133,4122.7443609,1012.93202,100.0,1.42831
134,4116.70149254,1011.54881,100.0,1.47945
135,4119.38518519,1008.27407,100.0,1.42251
136,4120.21323529,1004.60641,100.0,1.4623
137,4114.54014599,1003.11733,100.0,1.41535
138,4116.07971014,999.63867,100.0,1.42048
139,4118.30935252,996.38069,100.0,1.44898
140,4116.20714286,993.12512,100.0,1.43344
141,4121.11347518,991.29843,100.0,1.55492
142,4106.55633803,1002.8119,100.0,1.55444
143,4113.98601399,1003.2137,100.0,1.41476
144,4101.09722222,1011.5354,100.0,1.4774
145,4113.20689655,1018.46161,100.0,1.42489
146,4116.19863014,1015.60687,100.0,1.41506
147,4121.33333333,1014.04631,100.0,1.42067
148,4134.84459459,1023.80539,100.0,1.42537
149,4130.81879195,1021.53873,100.0,1.43494
150,4143.82,1030.4223,100.0,1.42743
151,4160.82119205,1047.9001,100.0,1.41546
152,4162.57236842,1044.66902,100.0,1.42248
153,4164.07843137,1041.41502,100.0,1.41626
154,4165.00649351,1038.09177,100.0,1.41717
155,4162.58709677,1035.17316,100.0,1.48349
156,4156.97435897,1034.21336,100.0,1.42471
157,4163.44585987,1034.07828,100.0,1.41485
158,4160.58227848,1031.42497,100.0,1.46267
159,4159.50314465,1028.26585,100.0,1.42111
160,4161.73125,1025.43244,100.0,1.41626
161,4162.74534161,1022.32339,100.0,1.45576
162,4170.66049383,1024.0997,100.0,1.41422
163,4179.7791411,1027.52918,100.0,1.44526
164,4176.76219512,1025.11557,100.0,1.45482
165,4173.77575758,1022.71978,100.0,1.42655
166,4174.30120482,1019.65699,100.0,1.45869
167,4168.85628743,1019.01719,100.0,1.42677
168,4177.94642857,1022.74847,100.0,1.41432
169,4173.23076923,1021.54828,100.0,1.44753
170,4169.54117647,1019.66804,100.0,1.45975
171,4172.29824561,1017.3175,100.0,1.47625
172,4175.6744186,1015.3162,100.0,1.41709
173,4170.08092486,1015.03183,100.0,1.51012
174,4171.56896552,1012.30009,100.0,1.44097
175,4169.89142857,1009.64618,100.0,1.41822
176,4169.17613636,1006.81825,100.0,1.43789
177,4169.74576271,1003.99854,100.0,1.41925
178,4167.74719101,1001.52737,100.0,1.41442
179,4158.05027933,1007.07038,100.0,1.45577
180,4155.28333333,1004.95113,100.0,1.52872
181,4156.19337017,1002.24555,100.0,1.429
182,4174.53846154,1029.51013,100.0,1.42435
183,4168.15846995,1030.29488,100.0,1.44421
184,4171.22282609,1028.32723,100.0,1.41624
185,4176.37297297,1027.92088,100.0,1.42774
186,4186.38172043,1034.15325,100.0,1.41932
