simulation,sample_comp_mean,sample_comp_std,correctness,theta_dist
1,1779.0,0.0,100.0,1.45328
2,2126.0,347.0,100.0,1.46573
3,2490.33333333,588.00529,100.0,1.41833
4,2743.25,671.72404,100.0,1.41647
5,2917.6,694.667,100.0,1.41545
6,3228.66666667,941.24787,100.0,1.4183
7,3203.28571429,873.6411,100.0,1.41847
8,3089.375,871.01793,100.0,1.42244
9,3267.11111111,962.85841,100.0,1.41918
10,3312.8,923.67416,100.0,1.60308
11,3229.09090909,919.61123,100.0,1.42039
12,3193.66666667,888.26501,100.0,1.41438
13,3178.15384615,855.10763,100.0,1.41922
14,3158.21428571,827.13267,100.0,1.45194
15,3055.73333333,886.32466,100.0,1.41704
16,2994.75,890.08858,100.0,1.46614
17,2946.35294118,884.94672,100.0,1.45541
18,3003.5,891.70724,100.0,1.46802
19,3013.68421053,868.99894,100.0,1.45953
20,2995.1,850.86032,100.0,1.41675
21,2965.28571429,840.99149,100.0,1.41869
22,2949.45454545,824.85231,100.0,1.41709
23,2961.43478261,808.67615,100.0,1.4238
24,2972.875,793.54843,100.0,1.4209
25,3019.12,809.84983,100.0,1.46375
26,3008.30769231,795.96114,100.0,1.51262
27,2993.40740741,784.76853,100.0,1.41758
28,2999.39285714,771.25474,100.0,1.41856
29,2957.65517241,789.36641,100.0,1.41488
30,2973.83333333,780.9735,100.0,1.41706
31,3014.16129032,799.39671,100.0,1.46193
32,3004.4375,788.66747,100.0,1.45357
33,2976.93939394,792.05092,100.0,1.41544
34,2974.47058824,780.44506,100.0,1.4229
35,2962.74285714,772.24875,100.0,1.41587
36,2948.05555556,766.38922,100.0,1.47015
37,2961.72972973,760.40084,100.0,1.416
38,2945.84210526,756.52681,100.0,1.41451
39,2925.82051282,756.89527,100.0,1.42507
40,2895.075,771.64394,100.0,1.41598
41,2881.90243902,766.71522,100.0,1.41467
42,2893.07142857,760.90101,100.0,1.41821
43,2915.02325581,765.33979,100.0,1.47312
44,2913.06818182,756.70138,100.0,1.46058
45,2904.35555556,750.47494,100.0,1.41669
46,2888.45652174,749.89596,100.0,1.41641
47,2865.63829787,757.84567,100.0,1.41565
48,2847.5,760.14982,100.0,1.48512
49,2864.42857143,761.4401,100.0,1.43827
50,2854.08,757.26003,100.0,1.4165
51,2852.35294118,749.8986,100.0,1.42162
52,2866.25,749.25501,100.0,1.41897
53,2877.33962264,746.44885,100.0,1.43423
54,2882.48148148,740.45181,100.0,1.41764
55,2883.72727273,733.74666,100.0,1.45402
56,2883.33928571,727.17153,100.0,1.42264
57,2872.31578947,725.46992,100.0,1.51123
58,2869.96551724,719.40754,100.0,1.41722
59,2872.69491525,713.58762,100.0,1.46392
60,2864.1,710.6891,100.0,1.41449
61,2871.96721311,707.46914,100.0,1.41948
62,2869.24193548,702.06329,100.0,1.63975
63,2882.38095238,704.11111,100.0,1.42305
64,2908.765625,729.30345,100.0,1.43399
65,2895.03076923,731.96589,100.0,1.45643
66,2882.10606061,733.8354,100.0,1.43584
67,2912.13432836,768.10732,100.0,1.43256
68,2906.94117647,763.62259,100.0,1.41699
69,2902.2173913,759.06905,100.0,1.52689
70,2919.74285714,767.55937,100.0,1.41488
71,2907.53521127,768.94825,100.0,1.41492
72,2888.76388889,779.79927,100.0,1.4172
73,2890.21917808,774.53821,100.0,1.43983
74,2888.28378378,769.46474,100.0,1.44592
75,2873.13333333,775.3498,100.0,1.42159
76,2875.68421053,770.54866,100.0,1.41891
77,2873.20779221,765.83311,100.0,1.41621
78,2878.94871795,762.57386,100.0,1.42147
79,2905.15189873,792.28355,100.0,1.48488
80,2899.7875,788.75862,100.0,1.41569
81,2893.18518519,786.09584,100.0,1.56429
82,2868.36585366,812.59256,100.0,1.42258
83,2870.12048193,807.83886,100.0,1.41808
84,2875.29761905,804.39988,100.0,1.41993
85,2883.14117647,802.87888,100.0,1.41938
86,2885.73255814,798.55481,100.0,1.60033
87,2888.02298851,794.23622,100.0,1.46407
88,2877.04545455,796.32086,100.0,1.55466
89,2880.73033708,792.58866,100.0,1.41542
90,2893.96666667,798.00354,100.0,1.42158
91,2909.26373626,806.76625,100.0,1.45093
92,2895.81521739,812.56113,100.0,1.41559
93,2889.64516129,810.34466,100.0,1.41964
94,2885.0106383,807.26097,100.0,1.43019
95,2905.64210526,827.53996,100.0,1.50659
96,2906.9375,823.31539,100.0,1.50299
97,2908.12371134,819.14295,100.0,1.4215
98,2906.28571429,815.15396,100.0,1.42958
99,2902.65656566,811.82192,100.0,1.42301
100,2919.98,825.93845,100.0,1.42945
101,2916.1980198,822.70922,100.0,1.41629
102,2920.09803922,819.60411,100.0,1.43746
103,2921.50485437,815.73949,100.0,1.5596
104,2926.98076923,813.70821,100.0,1.50112
105,2938.82857143,818.78792,100.0,1.48031
106,2928.74528302,821.44059,100.0,1.41744
107,2920.31775701,822.18422,100.0,1.45113
108,2918.35185185,818.62158,100.0,1.50589
109,2926.31192661,819.04602,100.0,1.41604
110,2911.42727273,829.99225,100.0,1.51917
111,2912.40540541,826.30877,100.0,1.41548
112,2911.09821429,822.7269,100.0,1.41678
113,2916.60176991,821.14667,100.0,1.49915
114,2922.38596491,819.84616,100.0,1.41512
115,2918.11304348,817.54777,100.0,1.41766
116,2909.3362069,819.43957,100.0,1.41423
117,2896.29059829,827.93952,100.0,1.42373
118,2893.3559322,825.03472,100.0,1.42396
119,2896.03361345,822.07563,100.0,1.47948
120,2901.40833333,820.74005,100.0,1.45236
121,2900.60330579,817.3891,100.0,1.41492
122,2901.71311475,814.12378,100.0,1.41607
123,2899.73170732,811.10289,100.0,1.65241
124,2893.29032258,810.9783,100.0,1.44586
125,2890.904,808.16486,100.0,1.50085
126,2885.5952381,807.13675,100.0,1.57197
127,2888.96062992,804.8398,100.0,1.55921
128,2880.75,807.01181,100.0,1.4162
129,2878.96124031,804.13247,100.0,1.41461
130,2881.50769231,801.55564,100.0,1.41653
131,2883.02290076,798.67728,100.0,1.45575
132,2875.20454545,800.66255,100.0,1.41485
133,2865.32330827,805.68533,100.0,1.63492
134,2867.3358209,803.00889,100.0,1.42738
135,2872.47407407,802.23727,100.0,1.41786
136,2866.66176471,802.13035,100.0,1.45225
137,2865.05109489,799.4182,100.0,1.4202
138,2862.12318841,797.2534,100.0,1.42007
139,2859.89928058,794.80988,100.0,1.41429
140,2860.52857143,792.00093,100.0,1.57602
141,2861.21276596,789.22894,100.0,1.47602
142,2856.63380282,788.32237,100.0,1.42105
143,2854.96503497,785.81282,100.0,1.42219
