simulation,sample_comp_mean,sample_comp_std,correctness,theta_dist
1,3159.0,0.0,100.0,1.42932
2,3625.0,466.0,100.0,1.42262
3,3587.66666667,384.13308,100.0,1.45622
4,3333.5,551.78868,100.0,1.41804
5,3183.8,577.24948,100.0,1.45272
6,3193.5,527.40046,100.0,1.41598
7,3036.42857143,621.64617,100.0,1.41676
8,2952.5,622.45201,100.0,1.41954
9,2880.77777778,620.92633,100.0,1.42124
10,3010.6,706.17196,100.0,1.41946
11,3025.18181818,674.88569,100.0,1.42392
12,2875.08333333,815.68371,100.0,1.42592
13,2862.76923077,784.84365,100.0,1.45237
14,2859.5,756.38612,100.0,1.42475
15,2875.6,733.21728,100.0,1.42121
16,2884.0625,710.69073,100.0,1.42797
17,2869.29411765,691.99734,100.0,1.41713
18,2821.94444444,700.26483,100.0,1.41861
19,2776.42105263,708.42407,100.0,1.54488
20,2824.85,722.03416,100.0,1.43996
21,2815.47619048,705.8791,100.0,1.41426
22,2798.59090909,693.97712,100.0,1.45253
23,2785.73913043,681.39462,100.0,1.4487
24,2794.125,668.25914,100.0,1.50844
25,2875.56,766.72504,100.0,1.4385
26,2830.11538462,785.42175,100.0,1.41538
27,2820.74074074,772.22059,100.0,1.4646
28,2774.60714286,795.29345,100.0,1.42904
29,2752.34482759,790.29027,100.0,1.41965
30,2755.36666667,777.17752,100.0,1.43741
31,2716.51612903,793.60053,100.0,1.42142
32,2723.1875,781.98479,100.0,1.416
33,2713.12121212,772.14796,100.0,1.41444
34,2759.79411765,806.57467,100.0,1.6164
35,2741.65714286,801.97225,100.0,1.4401
36,2805.22222222,875.62099,100.0,1.43974
37,2825.91891892,872.58861,100.0,1.4231
38,2836.44736842,863.40902,100.0,1.42319
39,2841.71794872,852.88686,100.0,1.42254
40,2845.175,842.43498,100.0,1.41893
41,2818.34146341,849.22822,100.0,1.41724
42,2820.26190476,839.14756,100.0,1.41887
43,2842.76744186,842.06031,100.0,1.4158
44,2827.54545455,838.39962,100.0,1.4592
45,2817.75555556,831.57121,100.0,1.41924
46,2826.86956522,824.75194,100.0,1.50691
47,2834.42553191,817.53859,100.0,1.41448
48,2832.6875,809.06549,100.0,1.53345
49,2827.69387755,801.51418,100.0,1.41478
50,2807.78,805.61036,100.0,1.41482
51,2814.78431373,799.20925,100.0,1.41672
52,2797.96153846,800.55315,100.0,1.42553
53,2783.1509434,800.12472,100.0,1.42447
54,2783.88888889,792.69974,100.0,1.41901
55,2769.2,792.84244,100.0,1.41807
56,2767.07142857,785.89017,100.0,1.44441
57,2766.80701754,778.9684,100.0,1.43601
58,2757.74137931,775.25121,100.0,1.41534
59,2773.20338983,777.62075,100.0,1.44791
60,2778.08333333,772.02384,100.0,1.41496
61,2780.21311475,765.84733,100.0,1.42572
