simulation,sample_comp_mean,sample_comp_std,correctness
1,14974.0,0.0,100.0
2,14916.0,58.0,100.0
3,14821.3333333,142.00782,100.0
4,14697.0,247.99395,100.0
5,14740.8,238.48388,100.0
6,14790.6666667,244.59945,100.0
7,14803.1428571,228.50785,100.0
8,14783.5,219.9767,100.0
9,14788.0,207.78621,100.0
10,14770.4,204.07214,100.0
11,14794.5454545,209.02038,100.0
12,14842.6666667,255.97048,100.0
13,14847.2307692,246.43618,100.0
14,14805.1428571,281.81728,100.0
15,14802.0,272.5152,100.0
16,14811.0,266.15409,100.0
17,14798.5882353,262.93704,100.0
18,14791.3333333,257.27374,100.0
19,14802.2105263,254.62864,100.0
20,14812.1,251.89718,100.0
21,14826.2857143,253.88058,100.0
22,14812.5454545,255.91062,100.0
23,14812.8695652,250.29015,100.0
24,14818.5833333,246.54782,100.0
25,14820.96,241.84697,100.0
26,14812.1538462,241.20334,100.0
27,14814.5925926,237.0209,100.0
28,14826.2857143,240.5498,100.0
29,14813.7241379,245.53431,100.0
30,14816.6,241.90364,100.0
31,14828.3225806,246.47978,100.0
32,14831.6875,243.32032,100.0
33,14827.6969697,240.66631,100.0
34,14837.7058824,243.97258,100.0
35,14841.9428571,241.72782,100.0
36,14839.0555556,238.95815,100.0
37,14841.027027,236.00349,100.0
38,14849.3157895,238.27285,100.0
39,14839.0769231,243.51985,100.0
40,14823.2,260.09683,100.0
41,14825.2195122,257.22264,100.0
42,14824.8095238,254.15558,100.0
43,14831.9069767,255.35965,100.0
44,14837.5454545,255.1345,100.0
45,14833.3333333,253.82619,100.0
46,14831.6956522,251.2923,100.0
47,14835.9148936,250.24616,100.0
48,14833.2916667,248.2779,100.0
49,14827.1836735,249.34851,100.0
50,14830.12,247.69672,100.0
51,14835.4509804,248.13629,100.0
52,14840.4230769,248.29088,100.0
53,14841.5471698,246.0709,100.0
54,14842.1111111,243.81639,100.0
55,14836.5454545,245.02718,100.0
56,14839.0357143,243.53087,100.0
57,14844.2807018,244.55543,100.0
58,14834.8275862,252.72475,100.0
59,14828.1016949,255.75582,100.0
60,14816.7666667,268.14426,100.0
61,14809.9344262,271.152,100.0
62,14803.7419355,273.27039,100.0
63,14803.5555556,271.09688,100.0
64,14801.375,269.52687,100.0
