simulation,sample_comp_mean,sample_comp_std,correctness
1,14797.0,0.0,100.0
2,14746.5,50.5,100.0
3,14863.0,169.83718,100.0
4,14889.5,154.07871,100.0
5,14893.4,138.03275,100.0
6,14872.0,134.78625,100.0
7,14962.4285714,254.23603,100.0
8,14961.375,237.83237,100.0
9,15005.1111111,256.09002,100.0
10,14977.0,257.1692,100.0
11,14958.7272727,251.91777,100.0
12,15003.0,282.37357,100.0
13,15022.3846154,279.48264,100.0
14,15002.1428571,279.02992,100.0
15,15002.2666667,269.56891,100.0
16,15008.4375,262.10088,100.0
17,14984.6470588,271.49888,100.0
18,14998.5,269.96095,100.0
19,15000.2105263,262.8609,100.0
20,14975.05,278.69167,100.0
21,14963.6190476,276.73788,100.0
22,14951.3636364,276.14646,100.0
23,14960.0869565,273.15833,100.0
24,14962.4166667,267.64029,100.0
25,14961.16,262.30512,100.0
26,14967.1923077,258.97372,100.0
27,14959.962963,256.79225,100.0
28,14964.4285714,253.23033,100.0
29,14965.8965517,248.94721,100.0
30,14956.4,250.04848,100.0
31,14965.5483871,251.0341,100.0
32,14967.65625,247.35913,100.0
33,14968.1818182,243.60057,100.0
34,14981.0294118,251.08347,100.0
35,14992.8857143,256.94577,100.0
36,15002.4722222,259.62232,100.0
37,15003.7567568,256.20583,100.0
38,15002.4210526,252.94275,100.0
39,14991.2051282,259.0749,100.0
40,15002.15,264.78978,100.0
41,15006.0243902,262.68608,100.0
42,15005.8571429,259.54223,100.0
43,15007.1395349,256.64115,100.0
44,15000.8636364,257.0241,100.0
45,14985.5555556,273.68632,100.0
46,14993.4347826,275.80709,100.0
47,14989.4255319,274.20878,100.0
48,14977.3958333,283.59395,100.0
49,14970.3061224,284.95064,100.0
50,14974.72,283.77379,100.0
51,14978.5686275,282.29273,100.0
52,14982.9038462,281.27425,100.0
53,14986.5660377,279.85687,100.0
54,14999.6851852,293.24297,100.0
55,14994.5454545,293.00933,100.0
56,14997.4107143,291.15784,100.0
57,14996.6491228,288.64879,100.0
58,14997.362069,286.20024,100.0
59,15011.0508475,302.30854,100.0
60,15008.8833333,300.24069,100.0
61,15010.1311475,297.92636,100.0
62,14993.1290323,323.97822,100.0
63,14991.8095238,321.56457,100.0
64,14996.296875,321.02442,100.0
65,14991.9230769,320.46141,100.0
66,14981.6212121,328.69115,100.0
67,14985.6716418,327.88437,100.0
68,14994.4705882,333.33826,100.0
69,14997.057971,331.60107,100.0
70,14996.9142857,329.22614,100.0
71,14998.5633803,327.19046,100.0
72,14995.3333333,326.04831,100.0
73,14998.6712329,325.04373,100.0
74,14994.1756757,325.11692,100.0
75,14990.5733333,324.42557,100.0
76,14983.25,328.46522,100.0
77,14978.974026,328.44759,100.0
78,14983.6794872,328.93716,100.0
79,14990.164557,331.8289,100.0
80,14991.25,329.88955,100.0
81,14990.0864198,328.01201,100.0
82,14989.3902439,326.06601,100.0
83,14990.1204819,324.16326,100.0
84,14989.7142857,322.24919,100.0
85,14987.7882353,320.83399,100.0
86,14984.5697674,320.34046,100.0
87,14985.7701149,318.68857,100.0
88,14986.3409091,316.91739,100.0
89,14984.8764045,315.43125,100.0
90,14984.8888889,313.67398,100.0
91,14986.043956,312.13814,100.0
92,14986.0869565,310.43737,100.0
93,14983.483871,309.7717,100.0
94,14981.2978723,308.8399,100.0
95,14981.1052632,307.2158,100.0
96,14978.9791667,306.31329,100.0
97,14977.2371134,305.20792,100.0
98,14975.0612245,304.40202,100.0
99,14969.6363636,307.58523,100.0
100,14972.22,307.1212,100.0
101,14972.960396,305.68669,100.0
102,14970.4607843,305.22006,100.0
103,14968.961165,304.11217,100.0
104,14967.1634615,303.19599,100.0
105,14966.2666667,301.88731,100.0
106,14966.6509434,300.48574,100.0
107,14965.317757,299.39311,100.0
108,14965.212963,298.00578,100.0
109,14961.9449541,298.57348,100.0
110,14963.2181818,297.51035,100.0
111,14962.972973,296.17834,100.0
112,14963.6875,294.94924,100.0
113,14966.699115,295.36589,100.0
114,14970.2719298,296.51,100.0
115,14969.9913043,295.23322,100.0
116,14974.4224138,297.77381,100.0
117,14974.1794872,296.51009,100.0
118,14976.3559322,296.18809,100.0
119,14977.394958,295.15685,100.0
120,14977.3083333,293.92598,100.0
121,14979.107438,293.37162,100.0
122,14978.1065574,292.37417,100.0
123,14978.9837398,291.34437,100.0
124,14975.8145161,292.28826,100.0
125,14977.76,291.92173,100.0
126,14974.9365079,292.46961,100.0
127,14975.6062992,291.41288,100.0
128,14974.90625,290.3795,100.0
129,14975.5271318,289.3371,100.0
130,14974.5153846,288.4511,100.0
131,14975.4580153,287.54895,100.0
132,14977.3409091,287.26719,100.0
133,14977.4210526,286.18668,100.0
134,14978.261194,285.2814,100.0
135,14975.1259259,286.53068,100.0
136,14976.3823529,285.84833,100.0
137,14979.0583942,286.50789,100.0
138,14981.0797101,286.44665,100.0
139,14980.0143885,285.68864,100.0
140,14977.4428571,286.27642,100.0
141,14976.7659574,285.37186,100.0
142,14975.7112676,284.64091,100.0
143,14974.2517483,284.17663,100.0
144,14976.0208333,283.97727,100.0
145,14976.5931034,283.07965,100.0
146,14981.9589041,289.41327,100.0
147,14985.5578231,291.68693,100.0
148,14985.8918919,290.72805,100.0
149,14982.6241611,292.46519,100.0
150,14983.18,291.56763,100.0
151,14982.5827815,290.6926,100.0
152,14986.8355263,294.40995,100.0
153,14991.0849673,298.08636,100.0
154,14992.3766234,297.54622,100.0
155,14992.5806452,296.59565,100.0
156,14991.0064103,296.29242,100.0
157,14992.6433121,296.05409,100.0
158,14993.5822785,295.35015,100.0
159,14990.9056604,296.33603,100.0
160,14992.79375,296.36635,100.0
161,14993.5403727,295.59543,100.0
162,14992.4876543,294.98427,100.0
163,14993.3742331,294.29444,100.0
164,14991.195122,294.71193,100.0
165,14992.7272727,294.47192,100.0
166,14987.7590361,300.43984,100.0
167,14984.4251497,302.60313,100.0
168,14990.25,310.94971,100.0
169,14992.3372781,311.20656,100.0
170,14991.8764706,310.34772,100.0
171,14991.497076,309.47848,100.0
172,14990.9476744,308.66114,100.0
173,14992.0231214,308.09078,100.0
174,14991.0172414,307.48895,100.0
175,14991.2285714,306.62182,100.0
176,14992.0909091,305.96224,100.0
177,14992.6497175,305.18677,100.0
178,14994.5730337,305.40213,100.0
179,14994.6312849,304.54884,100.0
180,14995.05,303.75336,100.0
181,14997.8121547,305.17152,100.0
182,15000.0384615,305.80234,100.0
183,15001.0765027,305.28703,100.0
184,15001.9184783,304.66929,100.0
185,15001.572973,303.88089,100.0
186,15001.0430108,303.14862,100.0
187,15003.1390374,303.68537,100.0
188,15000.4361702,305.12354,100.0
189,14999.8095238,304.43654,100.0
190,15000.2263158,303.68839,100.0
191,15003.6335079,306.51179,100.0
192,15004.0677083,305.77143,100.0
193,15006.0103627,306.16388,100.0
194,15006.0618557,305.37462,100.0
195,15006.2666667,304.60396,100.0
196,15008.3214286,305.17779,100.0
197,15008.2741117,304.40296,100.0
198,15010.1464646,304.76844,100.0
199,15009.9447236,304.01498,100.0
200,15012.565,305.49842,100.0
201,15011.5970149,305.04485,100.0
202,15009.2178218,306.1527,100.0
203,15007.9802956,305.90376,100.0
204,15006.5588235,305.82443,100.0
205,15007.0585366,305.16108,100.0
206,15007.776699,304.59311,100.0
207,15007.4396135,303.895,100.0
208,15007.8269231,303.21481,100.0
209,15007.5215311,302.52061,100.0
210,15006.5666667,302.115,100.0
211,15005.6018957,301.72233,100.0
212,15005.1981132,301.06702,100.0
213,15005.6384977,300.42789,100.0
214,15006.9345794,300.32143,100.0
215,15007.1116279,299.63338,100.0
216,15006.6342593,299.02092,100.0
217,15005.875576,298.53944,100.0
218,15005.559633,297.89029,100.0
219,15004.6438356,297.51682,100.0
220,15003.3454545,297.46109,100.0
221,15004.3846154,297.1873,100.0
222,15003.0630631,297.16734,100.0
223,15003.5784753,296.59973,100.0
224,15003.8392857,295.96257,100.0
225,15004.3066667,295.38698,100.0
226,15004.6327434,294.77332,100.0
227,15001.8810573,297.0181,100.0
228,15002.4736842,296.5005,100.0
229,15003.5021834,296.25974,100.0
230,15007.8,302.68488,100.0
231,15008.7532468,302.37479,100.0
232,15007.2112069,302.63131,100.0
233,15006.7467811,302.06403,100.0
234,15007.6538462,301.73574,100.0
235,15004.8212766,304.19487,100.0
236,15005.3644068,303.66387,100.0
237,15005.0379747,303.06405,100.0
238,15007.7647059,305.32607,100.0
239,15010.0669456,306.74978,100.0
240,15010.225,306.1198,100.0
241,15011.186722,305.84714,100.0
242,15011.1198347,305.21634,100.0
243,15012.7283951,305.61384,100.0
244,15011.5860656,305.50635,100.0
245,15013.3632653,306.14348,100.0
246,15015.0813008,306.7018,100.0
247,15015.8380567,306.31036,100.0
248,15016.016129,305.70499,100.0
249,15016.6546185,305.25615,100.0
250,15015.544,305.1487,100.0
251,15012.6454183,307.96947,100.0
252,15012.9920635,307.40687,100.0
253,15012.1146245,307.11477,100.0
254,15011.6299213,306.60657,100.0
255,15011.7529412,306.01107,100.0
256,15011.875,305.41903,100.0
257,15011.1089494,305.07057,100.0
258,15010.4302326,304.67312,100.0
259,15009.4942085,304.45583,100.0
260,15008.7115385,304.13072,100.0
261,15007.7509579,303.94245,100.0
262,15008.4389313,303.56539,100.0
263,15008.8669202,303.06691,100.0
264,15009.2840909,302.56802,100.0
265,15009.3622642,301.99927,100.0
266,15010.1691729,301.71714,100.0
267,15010.082397,301.15492,100.0
268,15008.2462687,302.08613,100.0
269,15009.0371747,301.80197,100.0
270,15007.8592593,301.86141,100.0
271,15008.2066421,301.35802,100.0
272,15009.7463235,301.86953,100.0
273,15010.5421245,301.60185,100.0
274,15010.2956204,301.07853,100.0
275,15010.6763636,300.59669,100.0
276,15012.2173913,301.13792,100.0
277,15012.6570397,300.68258,100.0
278,15013.8417266,300.78824,100.0
279,15014.874552,300.74214,100.0
280,15012.8535714,302.0966,100.0
281,15012.3843416,301.66078,100.0
282,15012.6134752,301.14994,100.0
283,15011.6254417,301.07493,100.0
284,15014.5950704,304.66806,100.0
285,15015.4140351,304.44608,100.0
286,15014.4335664,304.36378,100.0
287,15014.3170732,303.83945,100.0
288,15013.5555556,303.58573,100.0
289,15013.4256055,303.06806,100.0
290,15013.0034483,302.63019,100.0
291,15013.7560137,302.38146,100.0
292,15013.4315068,301.914,100.0
293,15012.9761092,301.49879,100.0
294,15012.0986395,301.36013,100.0
295,15012.3694915,300.88476,100.0
296,15011.5878378,300.67595,100.0
297,15010.5420875,300.70805,100.0
298,15010.9161074,300.27228,100.0
299,15011.3143813,299.84856,100.0
300,15010.5733333,299.62253,100.0
301,15009.7906977,299.4314,100.0
302,15009.2913907,299.06073,100.0
303,15010.3432343,299.12585,100.0
304,15009.6743421,298.86035,100.0
305,15008.6885246,298.86469,100.0
306,15009.4150327,298.64559,100.0
307,15009.019544,298.23905,100.0
308,15009.1785714,297.76754,100.0
309,15009.6796117,297.41535,100.0
310,15010.4677419,297.25827,100.0
311,15009.2122186,297.60212,100.0
312,15010.3237179,297.77067,100.0
313,15010.6900958,297.36505,100.0
314,15011.2261146,297.04257,100.0
315,15012.1142857,296.98801,100.0
316,15010.9556962,297.22987,100.0
317,15011.2523659,296.80753,100.0
318,15011.8836478,296.55356,100.0
319,15011.015674,296.49267,100.0
320,15010.60625,296.11934,100.0
321,15010.5825545,295.65804,100.0
322,15010.0124224,295.37526,100.0
323,15010.4396285,295.01729,100.0
324,15010.6944444,294.59726,100.0
325,15009.2307692,295.32123,100.0
326,15007.3374233,296.8369,100.0
327,15006.2813456,296.99541,100.0
328,15007.1219512,296.93167,100.0
329,15005.4741641,297.97821,100.0
330,15004.9848485,297.65874,100.0
331,15003.0694864,299.23852,100.0
332,15005.1325301,301.13579,100.0
333,15003.9339339,301.47538,100.0
334,15004.0329341,301.02916,100.0
335,15004.4597015,300.6807,100.0
336,15005.5595238,300.90701,100.0
337,15003.9821958,301.84814,100.0
338,15003.9881657,301.40131,100.0
339,15002.3775811,302.40956,100.0
340,15000.85,303.27154,100.0
341,15000.1143695,303.13017,100.0
342,14999.9239766,302.70709,100.0
343,15000.154519,302.29557,100.0
344,14999.4447674,302.14194,100.0
345,14998.7246377,301.99924,100.0
346,14998.6618497,301.56476,100.0
347,14999.4610951,301.49668,100.0
348,14997.4166667,303.46234,100.0
349,14997.5444126,303.03664,100.0
350,14998.9942857,303.81322,100.0
351,14997.6552707,304.41262,100.0
352,14997.8607955,304.00429,100.0
353,14996.9660057,304.03721,100.0
354,14997.0847458,303.61568,100.0
355,14998.3070423,304.05869,100.0
356,14997.9185393,303.71957,100.0
357,14997.9663866,303.29523,100.0
358,14997.7486034,302.89929,100.0
359,14997.0167131,302.79396,100.0
360,14997.6944444,302.64567,100.0
361,14995.8531856,304.23866,100.0
362,14996.5856354,304.13671,100.0
363,14996.9889807,303.81444,100.0
364,14996.521978,303.52726,100.0
365,14996.6054795,303.11537,100.0
366,14996.0382514,302.89492,100.0
367,14995.7438692,302.5344,100.0
368,14997.111413,303.25683,100.0
369,14998.1138211,303.45552,100.0
370,14998.0540541,303.04734,100.0
371,14999.7735849,304.44073,100.0
372,14999.2150538,304.22154,100.0
373,15000.3538874,304.60644,100.0
374,15000.1684492,304.22002,100.0
375,14999.584,304.02429,100.0
376,14999.3218085,303.66219,100.0
377,14999.3952255,303.26253,100.0
378,14998.2116402,303.73177,100.0
379,14998.6358839,303.44293,100.0
380,14996.8342105,305.06646,100.0
381,14997.4330709,304.88942,100.0
382,14998.0,304.69111,100.0
383,14999.002611,304.92339,100.0
384,14999.7604167,304.88701,100.0
385,15000.5376623,304.87149,100.0
386,15000.2953368,304.51344,100.0
387,14999.4366925,304.58728,100.0
388,14999.2912371,304.20798,100.0
389,14998.8868895,303.9211,100.0
390,14997.8820513,304.17752,100.0
391,14997.4347826,303.91668,100.0
392,14997.9336735,303.68905,100.0
393,14997.735369,303.32785,100.0
394,14997.5989848,302.95473,100.0
395,14998.5164557,303.11856,100.0
396,14999.3762626,303.2175,100.0
397,15000.3425693,303.44526,100.0
398,15000.1884422,303.07937,100.0
399,15001.4837093,303.80029,100.0
400,15002.1175,303.6843,100.0
401,15002.1047382,303.30551,100.0
402,15003.0547264,303.52477,100.0
403,15003.2878412,303.18398,100.0
404,15002.9232673,302.89696,100.0
405,15003.5925926,302.82177,100.0
406,15004.8103448,303.43985,100.0
407,15004.7321867,303.07093,100.0
408,15005.1495098,302.81635,100.0
409,15005.9706601,302.9004,100.0
410,15005.8463415,302.54123,100.0
411,15005.9367397,302.1785,100.0
