simulation,sample_comp_mean,sample_comp_std,correctness,theta_dist
1,7812.0,0.0,100.0,324018.33904
2,7794.5,17.5,100.0,324018.33904
3,7689.33333333,149.41293,100.0,324018.33904
4,7676.75,131.21809,100.0,324018.33904
5,7693.2,121.88913,100.0,324018.33904
6,7653.83333333,141.87837,100.0,324018.33904
7,7657.14285714,131.60377,100.0,324018.33904
8,7648.625,125.14985,100.0,324018.33904
9,7643.22222222,118.97785,100.0,324018.33904
10,7629.0,120.66731,100.0,324018.33904
11,7653.18181818,138.14671,100.0,324018.33904
12,7644.75,135.18945,100.0,324018.33904
13,7635.92307692,133.43651,100.0,324018.33904
14,7652.35714286,141.57865,100.0,324018.33904
15,7632.06666667,156.43549,100.0,324018.33904
16,7632.375,151.47272,100.0,324018.33904
17,7632.52941176,146.95142,100.0,324018.33904
18,7634.38888889,143.01676,100.0,324018.33904
19,7646.05263158,147.73642,100.0,324018.33904
20,7642.7,144.73531,100.0,324018.33904
21,7643.42857143,141.28478,100.0,324018.33904
22,7672.31818182,191.26122,100.0,324018.33904
23,7679.0,189.66446,100.0,324018.33904
24,7668.66666667,192.17086,100.0,324018.33904
25,7659.48,193.59217,100.0,324018.33904
26,7667.61538462,194.14191,100.0,324018.33904
27,7672.18518519,191.93248,100.0,324018.33904
28,7676.96428571,190.10288,100.0,324018.33904
29,7677.31034483,186.80547,100.0,324018.33904
30,7674.6,184.24469,100.0,324018.33904
31,7665.41935484,188.09465,100.0,324018.33904
32,7672.5625,189.35614,100.0,324018.33904
33,7672.36363636,186.46843,100.0,324018.33904
34,7662.73529412,191.85171,100.0,324018.33904
35,7660.68571429,189.46839,100.0,324018.33904
36,7656.69444444,188.30469,100.0,324018.33904
37,7649.56756757,190.60126,100.0,324018.33904
38,7650.55263158,188.17205,100.0,324018.33904
39,7650.12820513,185.76235,100.0,324018.33904
40,7647.8,184.00098,100.0,324018.33904
41,7644.26829268,183.11066,100.0,324018.33904
42,7642.5952381,181.23453,100.0,324018.33904
43,7640.37209302,179.69328,100.0,324018.33904
44,7641.97727273,177.95115,100.0,324018.33904
45,7648.33333333,180.94333,100.0,324018.33904
46,7656.39130435,186.95087,100.0,324018.33904
47,7655.0212766,185.18461,100.0,324018.33904
48,7647.5625,190.24632,100.0,324018.33904
49,7641.20408163,193.3795,100.0,324018.33904
50,7639.16,191.96993,100.0,324018.33904
51,7641.25490196,190.65489,100.0,324018.33904
52,7639.57692308,189.19265,100.0,324018.33904
53,7635.52830189,189.65983,100.0,324018.33904
54,7630.87037037,190.93096,100.0,324018.33904
55,7627.49090909,190.81022,100.0,324018.33904
56,7621.80357143,193.74573,100.0,324018.33904
57,7622.61403509,192.13443,100.0,324018.33904
58,7621.77586207,190.57599,100.0,324018.33904
59,7626.81355932,192.80969,100.0,324018.33904
60,7625.05,191.67546,100.0,324018.33904
61,7621.55737705,192.01328,100.0,324018.33904
62,7622.96774194,190.77676,100.0,324018.33904
63,7625.52380952,190.32377,100.0,324018.33904
64,7629.625,191.61628,100.0,324018.33904
65,7631.32307692,190.62126,100.0,324018.33904
66,7632.13636364,189.28525,100.0,324018.33904
67,7635.2238806,189.53445,100.0,324018.33904
68,7635.25,188.13578,100.0,324018.33904
69,7632.07246377,188.5966,100.0,324018.33904
70,7634.85714286,188.66798,100.0,324018.33904
71,7633.45070423,187.70383,100.0,324018.33904
72,7632.75,186.48926,100.0,324018.33904
73,7631.1369863,185.71257,100.0,324018.33904
74,7630.83783784,184.4712,100.0,324018.33904
75,7631.2,183.26374,100.0,324018.33904
76,7632.86842105,182.62655,100.0,324018.33904
77,7634.19480519,181.80488,100.0,324018.33904
78,7633.0,180.93971,100.0,324018.33904
79,7631.4556962,180.30746,100.0,324018.33904
80,7627.65,182.34192,100.0,324018.33904
81,7630.64197531,183.1782,100.0,324018.33904
82,7632.46341463,182.79438,100.0,324018.33904
83,7631.09638554,182.11109,100.0,324018.33904
84,7631.96428571,181.19645,100.0,324018.33904
85,7634.85882353,182.07052,100.0,324018.33904
86,7636.70930233,181.8111,100.0,324018.33904
87,7634.70114943,181.71995,100.0,324018.33904
88,7636.01136364,181.09732,100.0,324018.33904
89,7634.01123596,181.05189,100.0,324018.33904
90,7633.36666667,180.14589,100.0,324018.33904
91,7632.06593407,179.57782,100.0,324018.33904
92,7634.58695652,180.21106,100.0,324018.33904
93,7628.38709677,188.84687,100.0,324018.33904
94,7626.55319149,188.67041,100.0,324018.33904
95,7624.34736842,188.88937,100.0,324018.33904
96,7624.76041667,187.94612,100.0,324018.33904
97,7625.0,186.98955,100.0,324018.33904
98,7620.89795918,190.36938,100.0,324018.33904
99,7621.11111111,189.41723,100.0,324018.33904
100,7620.51,188.56264,100.0,324018.33904
101,7622.5049505,188.68443,100.0,324018.33904
102,7623.52941176,188.0393,100.0,324018.33904
103,7621.7961165,187.94129,100.0,324018.33904
104,7626.61538462,193.32487,100.0,324018.33904
105,7627.9047619,192.85087,100.0,324018.33904
106,7631.69811321,195.83537,100.0,324018.33904
107,7629.97196262,195.72661,100.0,324018.33904
108,7631.07407407,195.15164,100.0,324018.33904
109,7633.56880734,195.97685,100.0,324018.33904
110,7633.52727273,195.08449,100.0,324018.33904
111,7636.36036036,196.46373,100.0,324018.33904
112,7638.0,196.34609,100.0,324018.33904
113,7640.02654867,196.6484,100.0,324018.33904
114,7637.73684211,197.29118,100.0,324018.33904
115,7639.34782609,197.18317,100.0,324018.33904
116,7639.46551724,196.33545,100.0,324018.33904
117,7638.0,196.13078,100.0,324018.33904
118,7639.71186441,196.17379,100.0,324018.33904
119,7639.11764706,195.4544,100.0,324018.33904
120,7640.575,195.28648,100.0,324018.33904
121,7641.79338843,194.93529,100.0,324018.33904
122,7641.08196721,194.29239,100.0,324018.33904
123,7638.6097561,195.41819,100.0,324018.33904
124,7640.45967742,195.70701,100.0,324018.33904
125,7639.48,195.22765,100.0,324018.33904
126,7638.73015873,194.63203,100.0,324018.33904
127,7641.42519685,196.21038,100.0,324018.33904
128,7639.6875,196.42105,100.0,324018.33904
129,7639.97674419,195.68562,100.0,324018.33904
130,7638.46153846,195.68971,100.0,324018.33904
131,7640.16030534,195.90124,100.0,324018.33904
132,7641.73484848,195.98809,100.0,324018.33904
133,7639.88721805,196.40045,100.0,324018.33904
134,7638.10447761,196.74342,100.0,324018.33904
135,7638.02222222,196.0157,100.0,324018.33904
136,7636.66911765,195.92552,100.0,324018.33904
137,7639.33576642,197.67072,100.0,324018.33904
138,7639.0,196.99242,100.0,324018.33904
139,7639.65467626,196.43315,100.0,324018.33904
140,7639.52142857,195.73665,100.0,324018.33904
141,7638.02836879,195.83974,100.0,324018.33904
142,7637.20422535,195.39417,100.0,324018.33904
143,7635.67132867,195.56473,100.0,324018.33904
144,7635.45138889,194.90225,100.0,324018.33904
145,7635.29655172,194.2379,100.0,324018.33904
146,7635.97945205,193.74614,100.0,324018.33904
147,7635.24489796,193.28991,100.0,324018.33904
148,7635.16891892,192.638,100.0,324018.33904
149,7633.68456376,192.83784,100.0,324018.33904
150,7632.5,192.73712,100.0,324018.33904
151,7630.31125828,193.95921,100.0,324018.33904
152,7629.97368421,193.36463,100.0,324018.33904
153,7628.10457516,194.10442,100.0,324018.33904
154,7628.74675325,193.63618,100.0,324018.33904
155,7627.39354839,193.73968,100.0,324018.33904
156,7626.87820513,193.22427,100.0,324018.33904
157,7627.76433121,192.92565,100.0,324018.33904
158,7628.24683544,192.40917,100.0,324018.33904
159,7628.06918239,191.81615,100.0,324018.33904
160,7627.0875,191.61603,100.0,324018.33904
161,7625.49689441,192.07669,100.0,324018.33904
162,7625.22839506,191.51325,100.0,324018.33904
163,7628.00613497,194.17074,100.0,324018.33904
164,7629.04268293,194.02968,100.0,324018.33904
165,7630.05454545,193.87435,100.0,324018.33904
166,7629.70481928,193.34171,100.0,324018.33904
167,7629.16167665,192.88895,100.0,324018.33904
168,7629.74404762,192.46122,100.0,324018.33904
169,7630.14201183,191.96028,100.0,324018.33904
170,7628.42352941,192.69426,100.0,324018.33904
171,7628.28070175,192.13903,100.0,324018.33904
172,7628.13953488,191.58856,100.0,324018.33904
173,7627.38728324,191.28862,100.0,324018.33904
174,7626.2816092,191.29176,100.0,324018.33904
175,7625.06857143,191.41439,100.0,324018.33904
176,7624.35795455,191.10118,100.0,324018.33904
177,7624.29943503,190.56216,100.0,324018.33904
178,7623.47191011,190.34478,100.0,324018.33904
179,7622.98324022,189.92429,100.0,324018.33904
180,7622.37222222,189.57233,100.0,324018.33904
181,7622.47513812,189.05296,100.0,324018.33904
182,7623.44505495,188.98391,100.0,324018.33904
