simulation,sample_comp_mean,sample_comp_std,correctness,theta_dist
1,7709.0,0.0,100.0,324018.33904
2,7826.5,117.5,100.0,324018.33904
3,7784.0,113.21072,100.0,324018.33904
4,7775.75,99.0792,100.0,324018.33904
5,7681.0,209.19751,100.0,324018.33904
6,7644.5,207.67984,100.0,324018.33904
7,7588.0,236.90263,100.0,324018.33904
8,7595.125,222.40247,100.0,324018.33904
9,7607.66666667,212.66249,100.0,324018.33904
10,7622.7,206.72883,100.0,324018.33904
11,7618.90909091,197.47242,100.0,324018.33904
12,7586.83333333,216.9404,100.0,324018.33904
13,7580.38461538,209.6233,100.0,324018.33904
14,7575.21428571,202.85645,100.0,324018.33904
15,7573.6,196.07101,100.0,324018.33904
16,7568.75,190.77195,100.0,324018.33904
17,7592.11764706,207.33998,100.0,324018.33904
18,7585.05555556,203.59122,100.0,324018.33904
19,7594.42105263,202.10558,100.0,324018.33904
20,7621.4,229.42044,100.0,324018.33904
21,7622.57142857,223.95271,100.0,324018.33904
22,7625.36363636,219.1775,100.0,324018.33904
23,7620.08695652,215.78389,100.0,324018.33904
24,7618.58333333,211.36361,100.0,324018.33904
25,7619.16,207.11247,100.0,324018.33904
26,7624.80769231,205.04428,100.0,324018.33904
27,7619.85185185,202.79194,100.0,324018.33904
28,7620.17857143,199.14497,100.0,324018.33904
29,7625.4137931,197.63246,100.0,324018.33904
30,7625.63333333,194.31426,100.0,324018.33904
31,7622.32258065,192.01267,100.0,324018.33904
32,7623.46875,189.09637,100.0,324018.33904
33,7630.75757576,190.71954,100.0,324018.33904
34,7631.47058824,187.93854,100.0,324018.33904
35,7633.62857143,185.66115,100.0,324018.33904
36,7635.61111111,183.43971,100.0,324018.33904
37,7632.05405405,182.19813,100.0,324018.33904
38,7628.36842105,181.17721,100.0,324018.33904
39,7632.30769231,180.48043,100.0,324018.33904
40,7635.875,179.59721,100.0,324018.33904
41,7626.26829268,187.51,100.0,324018.33904
42,7632.95238095,190.14367,100.0,324018.33904
43,7638.1627907,190.92942,100.0,324018.33904
44,7636.81818182,188.95313,100.0,324018.33904
45,7637.86666667,186.97125,100.0,324018.33904
46,7636.15217391,185.28509,100.0,324018.33904
47,7637.89361702,183.6835,100.0,324018.33904
48,7640.75,182.81189,100.0,324018.33904
49,7634.85714286,185.48579,100.0,324018.33904
50,7625.14,195.81522,100.0,324018.33904
51,7625.98039216,193.977,100.0,324018.33904
52,7627.13461538,192.27955,100.0,324018.33904
53,7621.01886792,195.49622,100.0,324018.33904
54,7627.03703704,198.57138,100.0,324018.33904
55,7629.83636364,197.8303,100.0,324018.33904
56,7622.66071429,203.14995,100.0,324018.33904
57,7622.68421053,201.36013,100.0,324018.33904
58,7628.67241379,204.67235,100.0,324018.33904
59,7628.44067797,202.9381,100.0,324018.33904
60,7633.93333333,205.61484,100.0,324018.33904
61,7633.7704918,203.92641,100.0,324018.33904
62,7640.09677419,208.22241,100.0,324018.33904
63,7641.33333333,206.79259,100.0,324018.33904
64,7645.921875,208.37813,100.0,324018.33904
65,7643.2,207.91242,100.0,324018.33904
66,7635.03030303,216.5894,100.0,324018.33904
67,7630.76119403,217.74681,100.0,324018.33904
68,7628.82352941,216.72095,100.0,324018.33904
69,7624.10144928,218.64021,100.0,324018.33904
70,7631.17142857,224.87679,100.0,324018.33904
71,7632.95774648,223.78715,100.0,324018.33904
72,7633.72222222,222.32098,100.0,324018.33904
73,7634.0,220.80556,100.0,324018.33904
74,7632.32432432,219.77538,100.0,324018.33904
75,7634.24,218.9264,100.0,324018.33904
76,7634.23684211,217.48133,100.0,324018.33904
77,7636.71428571,217.14128,100.0,324018.33904
78,7637.47435897,215.84792,100.0,324018.33904
79,7636.75949367,214.57035,100.0,324018.33904
80,7636.875,213.22754,100.0,324018.33904
81,7640.13580247,213.90489,100.0,324018.33904
82,7641.63414634,213.02385,100.0,324018.33904
83,7643.89156627,212.72115,100.0,324018.33904
84,7643.08333333,211.57933,100.0,324018.33904
85,7643.05882353,210.33119,100.0,324018.33904
86,7644.73255814,209.67336,100.0,324018.33904
87,7640.73563218,211.73446,100.0,324018.33904
88,7641.76136364,210.74527,100.0,324018.33904
89,7636.70786517,214.85314,100.0,324018.33904
90,7635.68888889,213.87232,100.0,324018.33904
91,7634.42857143,213.02975,100.0,324018.33904
92,7636.86956522,213.14458,100.0,324018.33904
93,7632.2688172,216.53975,100.0,324018.33904
94,7631.57446809,215.48893,100.0,324018.33904
95,7626.50526316,219.91404,100.0,324018.33904
96,7625.02083333,219.24359,100.0,324018.33904
97,7622.24742268,219.79677,100.0,324018.33904
98,7620.63265306,219.25004,100.0,324018.33904
99,7622.76767677,219.16143,100.0,324018.33904
100,7621.83,218.26237,100.0,324018.33904
101,7624.58415842,218.91855,100.0,324018.33904
102,7621.7745098,219.66516,100.0,324018.33904
103,7621.81553398,218.59662,100.0,324018.33904
104,7623.58653846,218.28438,100.0,324018.33904
105,7623.68571429,217.2448,100.0,324018.33904
106,7625.0,216.63664,100.0,324018.33904
107,7624.68224299,215.64676,100.0,324018.33904
108,7626.44444444,215.41869,100.0,324018.33904
109,7628.02752294,215.05845,100.0,324018.33904
110,7627.64545455,214.11584,100.0,324018.33904
111,7630.0990991,214.69702,100.0,324018.33904
112,7628.84821429,214.14232,100.0,324018.33904
113,7628.61946903,213.20642,100.0,324018.33904
114,7627.54385965,212.57697,100.0,324018.33904
115,7626.68695652,211.84836,100.0,324018.33904
116,7626.62068966,210.93444,100.0,324018.33904
117,7625.77777778,210.22719,100.0,324018.33904
118,7625.83898305,209.33555,100.0,324018.33904
119,7627.57983193,209.31013,100.0,324018.33904
120,7627.875,208.46105,100.0,324018.33904
121,7628.84297521,207.86848,100.0,324018.33904
122,7629.32786885,207.08351,100.0,324018.33904
123,7629.39837398,206.24146,100.0,324018.33904
