simulation,sample_comp_mean,sample_comp_std,correctness,theta_dist
1,7448.0,0.0,100.0,359815.80248
2,7623.5,175.5,100.0,359815.80248
3,7563.0,166.89518,100.0,359815.80248
4,7612.0,167.61116,100.0,359815.80248
5,7569.2,172.63302,100.0,359815.80248
6,7586.33333333,162.18165,100.0,359815.80248
7,7607.14285714,158.56718,100.0,359815.80248
8,7577.0,168.4065,100.0,359815.80248
9,7601.66666667,173.42754,100.0,359815.80248
10,7599.8,164.62308,100.0,359815.80248
11,7630.36363636,184.33234,100.0,359815.80248
12,7632.75,176.66217,100.0,359815.80248
13,7638.84615385,171.04019,100.0,359815.80248
14,7639.35714286,164.82875,100.0,359815.80248
15,7658.33333333,174.35201,100.0,359815.80248
16,7640.375,182.58213,100.0,359815.80248
17,7622.76470588,190.62329,100.0,359815.80248
18,7600.44444444,206.85213,100.0,359815.80248
19,7592.42105263,204.19246,100.0,359815.80248
20,7596.95,199.99887,100.0,359815.80248
21,7587.23809524,199.95307,100.0,359815.80248
22,7600.0,203.92178,100.0,359815.80248
23,7601.43478261,199.55294,100.0,359815.80248
24,7590.41666667,202.37175,100.0,359815.80248
25,7593.28,198.77857,100.0,359815.80248
26,7583.46153846,201.00559,100.0,359815.80248
27,7590.37037037,200.36932,100.0,359815.80248
28,7579.42857143,204.80852,100.0,359815.80248
29,7570.93103448,206.20845,100.0,359815.80248
30,7568.13333333,203.30154,100.0,359815.80248
31,7564.06451613,201.23344,100.0,359815.80248
32,7555.40625,203.84643,100.0,359815.80248
33,7551.3030303,202.07162,100.0,359815.80248
34,7552.91176471,199.29218,100.0,359815.80248
35,7559.17142857,199.78696,100.0,359815.80248
36,7547.55555556,208.63504,100.0,359815.80248
37,7545.05405405,206.34292,100.0,359815.80248
38,7542.23684211,204.32964,100.0,359815.80248
39,7545.23076923,202.53565,100.0,359815.80248
40,7548.95,201.33218,100.0,359815.80248
41,7553.26829268,200.72843,100.0,359815.80248
42,7553.11904762,198.32671,100.0,359815.80248
43,7554.30232558,196.15698,100.0,359815.80248
44,7554.29545455,193.91511,100.0,359815.80248
45,7555.35555556,191.87729,100.0,359815.80248
46,7557.47826087,190.31367,100.0,359815.80248
47,7558.14893617,188.33311,100.0,359815.80248
48,7551.14583333,192.44599,100.0,359815.80248
49,7548.48979592,191.35896,100.0,359815.80248
50,7547.1,189.68534,100.0,359815.80248
51,7546.68627451,187.83926,100.0,359815.80248
52,7547.48076923,186.11085,100.0,359815.80248
