simulation,sample_comp_mean,sample_comp_std,correctness,theta_dist
1,7740.0,0.0,100.0,359815.80248
2,7569.5,170.5,100.0,359815.80248
3,7634.66666667,166.95375,100.0,359815.80248
4,7662.0,152.13974,100.0,359815.80248
5,7613.2,167.46032,100.0,359815.80248
6,7624.33333333,154.88347,100.0,359815.80248
7,7640.0,148.44046,100.0,359815.80248
8,7667.5,156.76096,100.0,359815.80248
9,7637.22222222,170.81424,100.0,359815.80248
10,7650.9,167.16306,100.0,359815.80248
11,7626.09090909,177.64595,100.0,359815.80248
12,7624.25,170.1926,100.0,359815.80248
13,7639.53846154,171.87859,100.0,359815.80248
14,7649.92857143,169.81017,100.0,359815.80248
15,7631.2,178.39215,100.0,359815.80248
16,7613.8125,185.39054,100.0,359815.80248
17,7623.11764706,183.66622,100.0,359815.80248
18,7623.16666667,178.4916,100.0,359815.80248
19,7620.47368421,174.10625,100.0,359815.80248
20,7631.1,175.90563,100.0,359815.80248
21,7635.0,172.55006,100.0,359815.80248
22,7623.95454545,176.01768,100.0,359815.80248
23,7626.17391304,172.46314,100.0,359815.80248
24,7625.83333333,168.83983,100.0,359815.80248
25,7619.24,168.55249,100.0,359815.80248
26,7623.57692308,166.69576,100.0,359815.80248
27,7625.77777778,163.96416,100.0,359815.80248
28,7620.03571429,163.75079,100.0,359815.80248
29,7621.62068966,161.12116,100.0,359815.80248
30,7629.86666667,164.51925,100.0,359815.80248
31,7623.48387097,165.57678,100.0,359815.80248
32,7630.3125,167.34535,100.0,359815.80248
33,7626.15151515,166.46287,100.0,359815.80248
34,7614.32352941,177.51516,100.0,359815.80248
35,7617.11428571,175.71597,100.0,359815.80248
36,7612.30555556,175.57838,100.0,359815.80248
37,7615.81081081,174.46177,100.0,359815.80248
38,7612.5,173.32488,100.0,359815.80248
39,7609.1025641,172.36541,100.0,359815.80248
40,7604.95,172.16154,100.0,359815.80248
41,7606.56097561,170.35401,100.0,359815.80248
42,7602.92857143,169.9132,100.0,359815.80248
43,7604.60465116,168.27678,100.0,359815.80248
44,7600.54545455,168.46964,100.0,359815.80248
45,7595.73333333,169.61779,100.0,359815.80248
46,7588.26086957,175.0927,100.0,359815.80248
47,7590.82978723,174.09405,100.0,359815.80248
48,7590.5,172.28586,100.0,359815.80248
49,7589.69387755,170.61021,100.0,359815.80248
50,7587.28,169.73863,100.0,359815.80248
51,7587.82352941,168.11022,100.0,359815.80248
52,7585.15384615,167.57402,100.0,359815.80248
53,7588.0,167.24967,100.0,359815.80248
54,7586.62962963,165.9939,100.0,359815.80248
55,7588.16363636,164.86377,100.0,359815.80248
56,7594.71428571,170.45472,100.0,359815.80248
57,7591.71929825,170.43296,100.0,359815.80248
58,7586.84482759,172.91884,100.0,359815.80248
59,7584.54237288,172.34153,100.0,359815.80248
60,7586.85,171.81607,100.0,359815.80248
61,7588.80327869,171.0723,100.0,359815.80248
62,7590.51612903,170.2136,100.0,359815.80248
63,7595.52380952,173.39997,100.0,359815.80248
64,7597.125,172.50874,100.0,359815.80248
65,7595.30769231,171.79289,100.0,359815.80248
66,7591.90909091,172.67431,100.0,359815.80248
67,7587.74626866,174.68576,100.0,359815.80248
68,7587.79411765,173.39699,100.0,359815.80248
69,7587.89855072,172.13806,100.0,359815.80248
70,7586.25714286,171.44709,100.0,359815.80248
71,7584.43661972,170.91549,100.0,359815.80248
72,7584.73611111,169.74319,100.0,359815.80248
73,7585.30136986,168.64477,100.0,359815.80248
