simulation,sample_comp_mean,sample_comp_std,correctness,theta_dist
1,12905.0,0.0,100.0,2.0121
2,19631.0,6726.0,100.0,2.05772
3,18005.3333333,5953.56769,100.0,2.07163
4,18180.25,5164.83433,100.0,2.11845
5,16100.4,6216.39084,100.0,2.07834
6,14588.5,6605.46268,100.0,2.00385
7,14776.5714286,6132.79707,100.0,2.13225
8,13554.5,6585.13553,100.0,2.09356
9,12825.5555556,6541.91613,100.0,2.05599
10,13154.6,6284.22089,100.0,3.12839
11,13133.3636364,5992.14585,100.0,2.1287
12,12972.1666667,5761.89986,100.0,2.02924
13,13845.0769231,6307.88006,100.0,2.24638
14,13516.5,6192.79991,100.0,2.2233
15,13620.2666667,5995.39806,100.0,2.06789
16,14047.375,6036.10561,100.0,2.03926
17,13740.6470588,5983.03212,100.0,3.14076
18,14134.6666667,6037.15529,100.0,2.06044
19,14738.6842105,6410.61912,100.0,2.06169
20,14395.3,6425.0741,100.0,2.00081
21,15311.7619048,7490.91692,100.0,2.15048
22,15922.9090909,7836.24437,100.0,2.08936
23,15789.6086957,7689.45942,100.0,2.03923
24,15400.25,7755.70325,100.0,2.04399
25,15387.68,7599.25573,100.0,2.04842
26,15187.9615385,7518.29574,100.0,2.27197
27,14920.7037037,7502.55665,100.0,2.08262
28,14718.6428571,7441.80285,100.0,2.10542
29,14732.9655172,7312.76306,100.0,2.1907
30,14560.8333333,7249.35919,100.0,3.18031
31,14394.6451613,7189.33231,100.0,2.03826
32,14692.8125,7268.24,100.0,2.07319
33,14749.6363636,7164.48264,100.0,2.10611
34,14910.3823529,7118.48348,100.0,2.35784
35,14870.0285714,7019.99852,100.0,2.13545
36,14603.7777778,7098.77537,100.0,2.1252
37,14500.6756757,7029.46163,100.0,2.59239
38,14340.0526316,7004.82485,100.0,2.03068
39,14457.2051282,6952.0477,100.0,2.04861
40,14338.675,6904.39131,100.0,2.22319
41,14167.5365854,6905.03118,100.0,2.11395
42,14678.6904762,7566.81179,100.0,2.00374
43,14465.2325581,7605.18184,100.0,2.61026
44,14350.1136364,7556.06542,100.0,2.09522
45,14275.0666667,7488.20248,100.0,2.33828
46,14529.0,7599.72963,100.0,2.08083
47,14382.0425532,7584.22576,100.0,2.12659
48,14824.0208333,8093.41353,100.0,2.16787
49,14590.755102,8171.80268,100.0,2.14931
50,14580.02,8090.02093,100.0,2.16242
51,14605.4117647,8012.32632,100.0,2.23236
52,14926.0961538,8258.78747,100.0,2.27252
53,14729.3584906,8302.60995,100.0,2.0091
54,14731.1296296,8225.3848,100.0,2.19474
55,14783.2,8159.24262,100.0,2.11194
56,14998.6964286,8242.48514,100.0,2.53633
57,15608.8947368,9359.37003,100.0,2.03267
58,15435.0172414,9370.74187,100.0,2.00222
59,15191.1355932,9474.8205,100.0,2.52682
60,15084.6666667,9431.05626,100.0,2.05502
61,14887.9016393,9476.79792,100.0,4.24489
62,14795.8064516,9427.54094,100.0,2.07603
63,14825.8412698,9355.40953,100.0,2.26092
64,14677.703125,9356.20966,100.0,2.05025
65,14632.0307692,9291.14699,100.0,2.08334
66,14560.1060606,9238.70701,100.0,2.11865
67,14389.238806,9273.97876,100.0,2.16109
68,14404.9852941,9206.43746,100.0,2.04074
69,14314.1304348,9170.1374,100.0,2.10604
70,14387.3428571,9124.68948,100.0,2.0774
71,14437.5633803,9069.94099,100.0,2.20938
72,14439.6805556,9006.75273,100.0,2.03544
73,14298.1917808,9025.06029,100.0,3.04298
74,14475.6891892,9091.25423,100.0,2.13534
75,14379.24,9068.47686,100.0,2.073
76,14411.2105263,9012.872,100.0,2.01079
77,14401.2207792,8954.5791,100.0,2.23695
78,14418.0,8898.21102,100.0,2.41627
79,14441.5063291,8844.15077,100.0,2.1055
80,14611.1625,8917.12619,100.0,2.00176
81,14511.4074074,8906.71417,100.0,2.01502
82,14605.7195122,8892.83984,100.0,2.13205
83,14521.1445783,8872.2228,100.0,2.01077
84,14503.4047619,8820.73456,100.0,2.3874
85,14518.1764706,8769.73946,100.0,2.20338
86,14509.8953488,8718.9378,100.0,2.17866
87,14473.7816092,8675.15107,100.0,2.14541
88,14367.6590909,8682.3287,100.0,2.57431
89,14259.4494382,8692.88528,100.0,2.21685
90,14224.3555556,8650.79419,100.0,2.01343
91,14144.6923077,8636.26221,100.0,2.06306
92,14244.7934783,8642.1155,100.0,2.10567
93,14202.0537634,8605.2971,100.0,2.25237
94,14259.287234,8577.17888,100.0,2.06376
95,14455.7684211,8741.99371,100.0,2.06228
96,14463.65625,8696.68313,100.0,2.0073
97,14512.9278351,8665.19713,100.0,2.01719
98,14608.5612245,8672.17381,100.0,2.05092
99,14639.7373737,8633.78175,100.0,2.04785
100,14551.6,8635.15008,100.0,2.2099
101,14719.5940594,8754.98383,100.0,2.09887
102,14614.0,8776.35656,100.0,2.10267
103,14563.3883495,8748.59425,100.0,2.31828
104,14592.0096154,8711.27632,100.0,2.10016
105,14727.3619048,8778.89021,100.0,2.07446
106,14735.1886792,8737.7503,100.0,2.07266
107,14692.7476636,8707.794,100.0,2.03582
108,14672.5092593,8669.91426,100.0,2.07464
109,14711.6605505,8639.63824,100.0,2.1747
110,14735.9454545,8604.01397,100.0,2.02849
111,14685.4324324,8581.53834,100.0,2.11042
112,14684.1160714,8543.15326,100.0,2.09933
113,14643.2566372,8516.2528,100.0,2.22221
114,14626.6403509,8480.65818,100.0,2.00611
115,14804.9565217,8655.69045,100.0,2.05784
116,14817.0689655,8619.27947,100.0,2.11427
117,14870.7008547,8601.78263,99.1453,2.15636
118,14866.6779661,8565.36738,99.15254,2.43438
119,14886.2016807,8531.93882,99.15966,2.07063
120,14815.9833333,8530.77411,99.16667,2.16463
121,14830.3884298,8496.91525,99.17355,2.01544
122,14893.0245902,8490.02376,99.18033,2.00185
123,14848.1463415,8469.95856,99.18699,2.00514
124,14806.3951613,8448.43517,99.19355,2.02796
125,14755.56,8433.593,99.2,2.13129
126,14788.4126984,8408.08631,99.20635,2.07451
127,14854.1417323,8407.3547,99.2126,2.11115
128,14767.21875,8431.54548,99.21875,2.01129
129,14843.5348837,8443.06567,99.22481,2.18491
130,14823.6769231,8413.55328,99.23077,2.01005
131,14811.0992366,8382.60574,99.23664,2.06608
132,14770.2424242,8363.87594,99.24242,2.04228
133,14777.3383459,8332.77229,99.24812,2.20422
134,14740.9552239,8312.2186,99.25373,2.00332
135,14726.3037037,8283.11195,99.25926,2.04176
136,14669.0441176,8279.37666,99.26471,2.01833
137,14596.8759124,8291.92673,99.27007,2.16602
138,14639.1666667,8276.64438,99.27536,2.12175
139,14596.2877698,8262.18753,99.28058,2.12842
140,14657.0928571,8263.78022,99.28571,2.07805
141,14581.9716312,8282.25722,99.29078,2.0055
142,14560.1056338,8257.12607,99.29577,2.10662
143,14560.4615385,8228.20544,99.3007,2.12952
144,14555.8680556,8199.7695,99.30556,2.1763
145,14531.9517241,8176.48387,99.31034,2.06061
146,14550.9178082,8151.63398,99.31507,2.13013
147,14530.5442177,8127.58905,99.31973,2.01652
148,14515.8783784,8102.0359,99.32432,2.13406
149,14520.9530201,8075.03808,99.32886,2.02981
150,14577.66,8077.78858,99.33333,2.07348
151,14576.384106,8051.01167,99.33775,2.0216
152,14641.7236842,8064.55255,99.34211,2.05124
153,14677.0457516,8049.94235,99.34641,2.11032
154,14645.7142857,8033.11749,99.35065,2.30697
155,14628.0,8010.17929,99.35484,2.07746
156,14569.8141026,8017.25882,99.35897,2.06063
157,14515.1656051,8020.78066,99.36306,2.0923
158,14513.6518987,7995.38065,99.36709,2.10727
159,14478.7295597,7982.27741,99.37107,2.10247
160,14490.40625,7958.65578,99.375,2.07474
161,14446.7701863,7953.07748,99.37888,2.00921
