simulation,sample_comp_mean,sample_comp_std,correctness,theta_dist
1,12181.0,0.0,100.0,2.11875
2,8359.0,3822.0,100.0,2.17858
3,10816.3333333,4670.69911,100.0,2.11207
4,11619.25,4277.33541,100.0,2.03912
5,12479.0,4194.41996,100.0,2.02517
6,11099.1666667,4917.38404,100.0,2.12905
7,10404.0,4860.6404,100.0,2.0061
8,11204.5,5015.79493,100.0,2.08329
9,11322.0,4740.60052,100.0,2.00266
10,11558.9,4553.13721,100.0,2.0976
11,10944.3636364,4756.36061,100.0,2.01572
12,11044.0833333,4565.86281,100.0,2.05785
13,10839.7692308,4443.46835,100.0,2.1068
14,10293.2142857,4713.54282,100.0,2.01876
15,10563.8,4664.90653,100.0,2.01569
16,10288.3125,4641.08488,100.0,2.20575
17,9820.0,4876.64793,100.0,2.14504
18,10938.2777778,6612.0918,100.0,2.00604
19,10408.7368421,6816.60934,100.0,2.39738
20,9973.15,6909.98096,100.0,2.16409
21,9865.52380952,6760.60635,100.0,2.2045
22,10141.2272727,6724.91802,100.0,2.00293
23,9972.65217391,6624.4566,100.0,2.08148
24,9671.20833333,6644.16451,100.0,2.0405
25,9675.2,6509.9545,100.0,2.01115
26,9514.23076923,6434.07366,100.0,2.02558
27,9704.81481481,6388.14916,100.0,2.05812
28,10425.7142857,7306.35328,100.0,2.08625
29,10565.6551724,7217.36439,100.0,2.02838
30,10526.1,7099.2519,100.0,2.10656
31,10445.3225806,6997.80972,100.0,2.01596
32,10397.28125,6892.79305,100.0,2.15578
33,10386.7878788,6787.81295,100.0,2.07982
34,10107.9411765,6876.42393,97.05882,2.02276
35,10027.4857143,6793.69449,97.14286,2.03711
36,9861.5,6770.26701,97.22222,2.19516
37,10202.9189189,6985.27725,97.2973,2.00723
38,10153.7105263,6899.24904,97.36842,2.05872
39,10285.6410256,6858.61128,97.4359,2.03094
40,10284.425,6772.34027,97.5,2.06317
41,10282.2926829,6689.25451,97.56098,2.14567
42,10629.452381,6972.95175,97.61905,2.06685
43,10535.6046512,6918.18049,97.67442,2.0449
44,10542.2045455,6839.2499,97.72727,2.25016
45,10347.6,6884.92615,97.77778,2.21476
46,10569.8695652,6971.00384,97.82609,2.07651
47,10700.2765957,6952.93005,97.87234,2.01139
48,10569.1875,6938.56974,97.91667,2.07444
49,10722.7346939,6949.3099,97.95918,2.06266
50,10609.88,6924.67493,98.0,2.00708
51,10771.4117647,6950.93737,98.03922,2.07121
52,11004.2115385,7081.69245,98.07692,2.00588
53,11009.509434,7014.66992,98.11321,2.02711
54,10842.5740741,7054.88146,98.14815,2.29684
55,10853.3636364,6990.90159,98.18182,2.01881
56,11059.8214286,7095.37478,98.21429,2.06723
57,11227.1052632,7143.40301,98.24561,2.12056
58,11170.6551724,7094.36726,98.27586,2.14064
59,11157.7966102,7034.67022,98.30508,2.04166
60,11219.7333333,6992.00558,98.33333,2.03735
61,11254.6557377,6939.73137,98.36066,2.15427
62,11151.3225806,6930.68839,98.3871,2.04218
63,11079.4603175,6898.70782,98.4127,2.01873
64,11097.515625,6846.09959,98.4375,2.01139
65,11027.0,6816.61601,98.46154,2.11236
66,11039.8181818,6765.5672,98.48485,2.00146
67,11033.5522388,6715.08103,98.50746,2.09758
68,10918.0441176,6732.24431,98.52941,2.13217
69,10826.7681159,6725.53237,98.55072,2.07694
70,10957.3857143,6764.89535,98.57143,2.00917
71,10861.4647887,6764.85817,98.59155,2.10066
72,10805.1111111,6734.47711,98.61111,2.06994
73,10757.5479452,6700.35729,98.63014,2.00723
